ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU Penyiaran,https://twitter.com/TVTempoChannel/status/1836706831483175258#m,FOKUS | VIDEO REPLAY Bahaya Larangan Jurnalisme Investigasi dalam RUU Penyiaran https://piped.video/watch?v=CdaGOXefirQ #ruupenyiaran #jurnalisme #investigasi #fokus #tvtempo,"{'name': 'TV Tempo', 'username': '@TVTempoChannel', 'profile_id': '1367858109989875716', 'avatar': 'https://pbs.twimg.com/profile_images/1367858109989875716/9lyUGRfh_bigger.jpg'}","Sep 19, 2024 · 10:00 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GX1LIM8WUAAkRY3.jpg'],[],[]
RUU Penyiaran,https://twitter.com/SINDIKASI_/status/1836271947862413691#m,"Halo kawan-kawan pekerja kreatif!   Peraturan ketenagakerjaan masih belum berpihak pada pekerja kreatif. Sementara itu, perkembangan kebijakan lain seperti RUU Penyiaran, UU Pornografi, UU Perfilman, dan berbagai peraturan daerah tentang ketertiban umum mempersempit ruang gerak kelompok ragam gender. Ini membuat kerentanan pekerja kreatif dengan ragam gender maqueen-maqueen dobelnya.   Untuk mendorong perlindungan yang lebih sistemik terhadap pekerja kreatif dengan ragam gender, SINDIKASI ingin meneliti kondisi kerja ragam gender di sektor kreatif dengan fokus di bentuk diskriminasi dalam lingkungan kerja.  Jika kamu pekerja ragam gender di sektor kreatif, ikutan isi survey ini yuk! Datamu hanya akan dikelola oleh 3 orang Divisi Gender dan Inklusi Sosial SINDIKASI dan dipublikasi dalam bentuk agregat.   Selamat mengisi!  https://bit.ly/kerjaqreatif","{'name': 'Serikat SINDIKASI', 'username': '@SINDIKASI_', 'profile_id': '1371394845797871616', 'avatar': 'https://pbs.twimg.com/profile_images/1371394845797871616/CDhEkowZ_bigger.jpg'}","Sep 18, 2024 · 5:12 AM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 10, 'quotes': 0, 'likes': 19}",['https://pbs.twimg.com/media/GXu_masagAA4KZ5.jpg'],[],[]
RUU Penyiaran,https://twitter.com/lenatheaz/status/1836302410215755799#m,RUU penyiaran ini kelanjutannya gimana yah..,"{'name': 'ejej jastip unsoed', 'username': '@lenatheaz', 'profile_id': '1829793292994953218', 'avatar': 'https://pbs.twimg.com/profile_images/1829793292994953218/JJvWhHmP_bigger.jpg'}","Sep 18, 2024 · 7:13 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Penyiaran,https://twitter.com/Bud_Cavalera/status/1836260542945857804#m,"Buzzer gorong gorong sedang briefing pentingnya RUU penyiaran, waspadalah terhadap propaganda rezim, RUU penyiaran bukan saja ancaman buat kelangsungan demokrasi, tetapi juga dapat menghambat pemberantasan korupsi.","{'name': 'Maling Cundang', 'username': '@Bud_Cavalera', 'profile_id': '1717009009226780672', 'avatar': 'https://pbs.twimg.com/profile_images/1717009009226780672/axmTIJcj_bigger.jpg'}","Sep 18, 2024 · 4:26 AM UTC",False,False,,[],"{'link': 'https://twitter.com/MellisA_An/status/1836221003296579706#m', 'text': 'Seperti inilah berita yang sengaja dibuat sesat informasi untuk dijadikan jembatan bagi para pembenci menebar fitnah dan kebencian.', 'user': {'name': 'Mellisa Anggraini,MH', 'username': '@MellisA_An', 'profile_id': '1649147386898579457', 'avatar': 'https://pbs.twimg.com/profile_images/1649147386898579457/JkQpkcYl_mini.jpg'}, 'date': 'Sep 18, 2024 · 1:49 AM UTC', 'pictures': [], 'videos': [], 'gifs': []}","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Penyiaran,https://twitter.com/jstwillians/status/1826271845680816264#m,"""Capek banget liat timeline gua isinya politik semua"" ""Apalah politik politik ga penting banget"" ""Emang ngaruh ke content creator?"" ""Untung aku anime"" ""Aku sigma skibidi""  Ntar kalo RUU penyiaran sah, jangan nangis ngeluh-ngeluh lu pada yak. Makan tuh tone deaf.  #KawalPutusanMK","{'name': 'Justin Willians 🎸|| UKOI Virtual', 'username': '@jstwillians', 'profile_id': '1676245402784505867', 'avatar': 'https://pbs.twimg.com/profile_images/1676245402784505867/ku3vakmN_bigger.jpg'}","Aug 21, 2024 · 2:55 PM UTC",True,False,,[],{},"{'comments': 40, 'retweets': 6742, 'quotes': 128, 'likes': 16876}",[],[],[]
RUU Penyiaran,https://twitter.com/secretlifeofnun/status/1835217108072120419#m,"RUU penyiaran tuh daripada yang di sah in yang dilarang kritik pemerintah, mending yang di sah in hak cipta pemilik video sosmed yang di tayangin komersil di TV☝🏻","{'name': 'Ai', 'username': '@secretlifeofnun', 'profile_id': '1791326449615659010', 'avatar': 'https://pbs.twimg.com/profile_images/1791326449615659010/4v84dMiT_bigger.jpg'}","Sep 15, 2024 · 7:20 AM UTC",False,False,,"['@andri_parcox', '@Tackcalbmi', '@Widino']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Penyiaran,https://twitter.com/lim_filbert/status/1834429559178981716#m,"Ambil contoh RUU Penyiaran, butuh 20+ tahun lebih untuk disahkan, sementara sekarang kita hidup dimana penyiaran konvensional sudah kehilangan momentumnya di era media digital dan SNS ini.   (Tapi ngesahin RUU Pilkada cepat banget, hanya butuh waktu 7 jam wkwk)","{'name': 'Lim Said', 'username': '@lim_filbert', 'profile_id': '1831198574883082240', 'avatar': 'https://pbs.twimg.com/profile_images/1831198574883082240/UdZlz2-N_bigger.jpg'}","Sep 13, 2024 · 3:11 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 3}",[],[],[]
RUU Penyiaran,https://twitter.com/man07_ip36818/status/1833937681509962144#m,"Tujuan RUU penyiaran agar di tolak  Untuk mengatasi dan mengkritik ❌ Untuk menyebarkan hoaks dan memfitnah✅ Fitnah hoaks dimana mana,parahnya lagi hukum juga harus standaritas toktok berdasarkan asumsi di atas asumsi/didektif natijen #TimnasDay #indonesiaupdate","{'name': 'Ip Man07', 'username': '@man07_ip36818', 'profile_id': '1755589913188401152', 'avatar': 'https://pbs.twimg.com/profile_images/1755589913188401152/5GwGSqlB_bigger.png'}","Sep 11, 2024 · 6:36 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Penyiaran,https://twitter.com/justkindoftrash/status/1833730383210516733#m,Hehe kebayang kan kalo ruu penyiaran disahkan?,"{'name': '🌙', 'username': '@justkindoftrash', 'profile_id': '1440174494786543620', 'avatar': 'https://pbs.twimg.com/profile_images/1440174494786543620/PXRpv8df_bigger.jpg'}","Sep 11, 2024 · 4:52 AM UTC",False,False,,['@remotivi'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Penyiaran,https://twitter.com/kijangplus/status/1833543668915179979#m,"masih belum puas? baca RUU TNI POLRI, RUU penyiaran  yg udh jadi usul untuk disahkan. jika itu terjadi era orba bakal kembali, gua rasa lu gatau beritanya mulyono mulyono","{'name': 'Darkcloud🍉🦉', 'username': '@kijangplus', 'profile_id': '1770807206021066752', 'avatar': 'https://pbs.twimg.com/profile_images/1770807206021066752/QuDd_jnb_bigger.jpg'}","Sep 10, 2024 · 4:30 PM UTC",False,False,,"['@kijangplus', '@Cintamu2k16', '@MasterMons36', '@PebriyanDwi_P', '@jonsnow2393', '@gilbhas']",{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
