ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU BHP,https://twitter.com/kanimbatulicin/status/1828312975729410237#m,"7. “Output prioritas nasional polhukhankam dan transformasi digital, yaitu modul UU KUHP, RUU KUH Acara Perdata, RUU Kepailitan, penguatan BHP, ...","{'name': 'Kantor Imigrasi Kelas II TPI Batulicin Official', 'username': '@kanimbatulicin', 'profile_id': '1594529917546672128', 'avatar': 'https://pbs.twimg.com/profile_images/1594529917546672128/EZWuSkJm_bigger.jpg'}","Aug 27, 2024 · 6:05 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 4, 'quotes': 0, 'likes': 5}",[],[],[]
RUU BHP,https://twitter.com/rutandonggala/status/1827191327374897526#m,"“Output prioritas nasional polhukhankam dan transformasi digital, yaitu modul UU KUHP, RUU KUH Acara Perdata, RUU Kepailitan, penguatan BHP, pengembangan kompetensi Pembimbing Kemasyarakatan, sampai dengan Implementasi kebijakan integrasi...""","{'name': 'Rutan Donggala', 'username': '@rutandonggala', 'profile_id': '1429029877903069192', 'avatar': 'https://pbs.twimg.com/profile_images/1429029877903069192/329LI9WC_bigger.jpg'}","Aug 24, 2024 · 3:48 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/lpsamarinda/status/1827140119398379544#m,"“Output prioritas nasional polhukhankam dan transformasi digital, yaitu modul UU KUHP, RUU KUH Acara Perdata, RUU Kepailitan, penguatan BHP, pengembangan kompetensi Pembimbing Kemasyarakatan, sampai dengan Implementasi kebijakan integrasi sistem manajemen pemeriksaan keimigrasian","{'name': 'Lapas Samarinda', 'username': '@lpsamarinda', 'profile_id': '1716350194181414912', 'avatar': 'https://pbs.twimg.com/profile_images/1716350194181414912/DnKhbMIM_bigger.jpg'}","Aug 24, 2024 · 12:25 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/KangMoer81/status/1789807934404505784#m,"Dulu, pertengahan tahun 2000, kita terhenyak oleh RUU BHP, Undang-Undang Badan Hukum Pendidikan, dan tentu reaksi kolektif yang keras membuat RUU itu urung berlaku. .","{'name': 'Bumi Manusia', 'username': '@KangMoer81', 'profile_id': '1723676040080596992', 'avatar': 'https://pbs.twimg.com/profile_images/1723676040080596992/RG2SqJGn_bigger.jpg'}","May 13, 2024 · 12:00 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/udahmerdeka/status/1759025256990425178#m,"eskalasinya dr 2008, zaman msh RUU BHP, eh nongol lg jd RUU PT yg lbh serem 😂 ga bakakan menang jg soalnya kan itu udah amanat dr WTO, siapapun presidenya wajib dilaksanakan","{'name': 'wn', 'username': '@udahmerdeka', 'profile_id': '1832071556660355073', 'avatar': 'https://pbs.twimg.com/profile_images/1832071556660355073/734eIWCR_bigger.jpg'}","Feb 18, 2024 · 1:21 AM UTC",False,False,,['@inganggita'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/arkarka89/status/1758786249887035551#m,"Fyi, temen dekat saya pun adalah temen yg anti gerakan yg saya ikuti buat menggugat ruu bhp dlu. Bahkan mengubah dia pun saat itu saya gbsa, apalagi kalian mau mengubah opini org di sosmed. Kalau mau ubah, bentuk wadahnya, bahas isu2nya, bentuk tuntutan dan solusinya, implement.","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}","Feb 17, 2024 · 9:31 AM UTC",False,False,,"['@arkarka89', '@Karismaang', '@dewapuci']",{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/arkarka89/status/1758780450238337527#m,"Saya sama, tp berlanjut dr mas nya. Saya advokasi adik tingkat di 2009, sama persis kenaikan uang spp jg 4x dr spp saya. Syaratnya jg banyak seperti yg mas blg. Itulah point yg saya sampaikan di demo tolak ruu bhp bersama teman2. Itu jg salah satu yg d gaungkan ke adik2 saya","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}","Feb 17, 2024 · 9:08 AM UTC",False,False,,"['@agus_kriwul', '@Karismaang', '@dewapuci']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/arkarka89/status/1758752437593317500#m,"Ya salah. Sejak jaman ruu bhp di setujui, subsidi negara untuk kampus psti akan mulai menghilang. Karena ptn udh jd otonomi kampus, bukan pemerintah lg. Makanya dlu kami demo ruu bhp, kalian ga ada yg lanjutin, trus skrg ngamuk2 ukt mahal, org kami yg demo dl udh tau bakal begini","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}","Feb 17, 2024 · 7:17 AM UTC",False,False,,['@collegemenfess'],{},"{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/arkarka89/status/1758738615642013915#m,Ralat. Bahkan dr sebelum 2008 pergerakan penolakan ruu bhp sudah ramai.,"{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}","Feb 17, 2024 · 6:22 AM UTC",False,False,,"['@arkarka89', '@Karismaang', '@dewapuci']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU BHP,https://twitter.com/arkarka89/status/1758738408778928153#m,"Lah ya itu hasil dr otonomi kampus. Udh di lawan dr 2008, saya trmasuk yg ikut demo mahasiswa nya menolak otonomi kampus dan ruu bhp supaya masyarakat yg kurang sejahtera bisa kuliah. Tidak di lanjutkan sama adik2 sampai sudah di loloskan, trus skrg ngomel2?","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}","Feb 17, 2024 · 6:21 AM UTC",False,False,,"['@Karismaang', '@dewapuci']",{},"{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 3}",[],[],[]
