ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU Daerah Khusus Jakarta,https://twitter.com/dancersejati07/status/1814248407256519148#m,"""Krn ada IKN, maka ada UU DKJ Daerah Khusus Jakarta. Kawal pembahasan RUU itu  Awalnya gubernur DKJ dipilih presiden. Tidak disetujui DPR. Lalu berubah dipilih oleh DPR dan presiden. Ini berpotensi kronisme (Korupsi Kolusi Nepotisme)  (MMD)  #MusnahkanRezimPKI #MusnahkanRezimPKI","{'name': 'dancersejati07', 'username': '@dancersejati07', 'profile_id': '1610255957543768066', 'avatar': 'https://pbs.twimg.com/profile_images/1610255957543768066/dTzjGVsM_bigger.jpg'}","Jul 19, 2024 · 10:38 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 18, 'quotes': 0, 'likes': 26}",[],['https://video.twimg.com/ext_tw_video/1814248344849625088/pu/pl/3wnrPSRiK-nRBP1u.m3u8?tag=12'],[]
RUU Daerah Khusus Jakarta,https://twitter.com/FurqanIbr64677/status/1808118598159982928#m,"Sebelum ada RUU IKN Nusantara Jakarta menjadi provinsi DKI ( Daerah khusus ibukota). Jakarta jelas statusnya sbg DAERAH KHUSUS IBUKOTA. Tapi setelah ada UU IKN Nusantara, Jakarta menjadi DKJ (Daerah khusus Jakarta), ini status tidak jelas, untuk Jakarta sbg daerah khusus apa?","{'name': '🇮🇩🇮🇩 Furqan Ibrahim 🇮🇩🇮🇩', 'username': '@FurqanIbr64677', 'profile_id': '1786998203499610112', 'avatar': 'https://pbs.twimg.com/profile_images/1786998203499610112/pSlF7wRZ_bigger.jpg'}","Jul 2, 2024 · 12:40 PM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Daerah Khusus Jakarta,https://twitter.com/silviapurnama28/status/1797443611229061615#m,RUU Daerah Khusus Jakarta menjadi contoh bagi daerah lain dalam pengembangan kota UndangUndang #KPKRI,"{'name': 'Silvia Purnama', 'username': '@silviapurnama28', 'profile_id': 'default_profile_bigger.png', 'avatar': 'https://pbs.twimg.com/abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png'}","Jun 3, 2024 · 1:42 AM UTC",False,False,,['@OposisiLieur'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Daerah Khusus Jakarta,https://twitter.com/4rn0sum/status/1791631177578848687#m,RUU Daerah Khusus Jakarta bikin kita punya harapan baru nih! UndangUndang #UndangUndang,"{'name': 'Nada Bonjour', 'username': '@4rn0sum', 'profile_id': '1721356416244686848', 'avatar': 'https://pbs.twimg.com/profile_images/1721356416244686848/pKNms1NZ_bigger.jpg'}","May 18, 2024 · 12:45 AM UTC",False,False,,['@OposisiLieur'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Daerah Khusus Jakarta,https://twitter.com/dynarfitrianti1/status/1790148295081492764#m,RUU Daerah Khusus Jakarta menjadi instrumen untuk meningkatkan kualitas hidup masyarakat UndangUndang #KPKRI,"{'name': 'Dynar Fitrianti', 'username': '@dynarfitrianti1', 'profile_id': '1721361955485818880', 'avatar': 'https://pbs.twimg.com/profile_images/1721361955485818880/dxpnpet__bigger.jpg'}","May 13, 2024 · 10:33 PM UTC",False,False,,['@OposisiLieur'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Daerah Khusus Jakarta,https://twitter.com/dynarfitrianti1/status/1790146034716627405#m,RUU Daerah Khusus Jakarta bikin Jakarta semakin nge hits! UndangUndang #TegakkanHukum,"{'name': 'Dynar Fitrianti', 'username': '@dynarfitrianti1', 'profile_id': '1721361955485818880', 'avatar': 'https://pbs.twimg.com/profile_images/1721361955485818880/dxpnpet__bigger.jpg'}","May 13, 2024 · 10:24 PM UTC",False,False,,['@OposisiLieur'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Daerah Khusus Jakarta,https://twitter.com/Pecel_Lele5678/status/1788224500372554088#m,"Politik licik, beli 1 dapat 2. Salah satu yang diatur dalam RUU Daerah Khusus Jakarta adalah pembentukan dewan kawasan yang dipimpin oleh Wakil Presiden. #PolitikDinasti #PolitikLicik #PemiluCurang #AbuseOfPower #PenyalahgunaanKekuasaan #MahkamahKeluarga","{'name': 'Elang Gold(2)🇮🇩🇵🇸', 'username': '@Pecel_Lele5678', 'profile_id': '1826592568890851332', 'avatar': 'https://pbs.twimg.com/profile_images/1826592568890851332/FrWHKeTB_bigger.jpg'}","May 8, 2024 · 3:08 PM UTC",False,False,,[],{},"{'comments': 2, 'retweets': 7, 'quotes': 0, 'likes': 13}",[],['https://video.twimg.com/ext_tw_video/1788224070062051328/pu/pl/UK6HIeuN36TWOmMj.m3u8?tag=12'],[]
RUU Daerah Khusus Jakarta,https://twitter.com/natonatiri/status/1787172209863397707#m,RUU Daerah Khusus Jakarta bikin Jakarta semakin happening! UndangUndang #TegakkanHukum,"{'name': 'Nato Natiri', 'username': '@natonatiri', 'profile_id': '1721361454622994432', 'avatar': 'https://pbs.twimg.com/profile_images/1721361454622994432/yulEIqst_bigger.jpg'}","May 5, 2024 · 5:27 PM UTC",False,False,,['@OposisiLieur'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Daerah Khusus Jakarta,https://twitter.com/EposWans/status/1787152277494780322#m,"Senin, 06/05/2024/268  Cianjur kini punya status baru, karena resmi masuk Daerah Khusus Jakarta (DKJ) setelah Dewan Perwakilan Rakyat (DPR) sahkan aturan RUU tentang Daerah Khusus Jakarta (DKJ) menjadi undang-undang pada Senin, 1 April 2024.","{'name': 'Wawan Abu Fakhri', 'username': '@EposWans', 'profile_id': '1764186248133165056', 'avatar': 'https://pbs.twimg.com/profile_images/1764186248133165056/W0ORiOdr_bigger.jpg'}","May 5, 2024 · 4:08 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 3}",[],['https://video.twimg.com/ext_tw_video/1787152037786132481/pu/pl/6Ezpxl8wiawGPlUN.m3u8?tag=12'],[]
RUU Daerah Khusus Jakarta,https://twitter.com/intan_permatani/status/1785935037457965117#m,RUU Daerah Khusus Jakarta mendukung terciptanya kota yang berkelanjutan UndangUndang #TegakkanHukum,"{'name': 'Intan Permatani', 'username': '@intan_permatani', 'profile_id': '1721359633544359936', 'avatar': 'https://pbs.twimg.com/profile_images/1721359633544359936/UKSKJ7ml_bigger.jpg'}","May 2, 2024 · 7:31 AM UTC",False,False,,['@reiMurilin12'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
