ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU Desa,https://twitter.com/ApriliaLin/status/1834906147972956558#m,"Baginya, desa bukan ""sekadar penyangga kota"".  Maka, gelora memperjuangkan RUU Desa berkobar & menyala-nyala. Bahkan, gelora itu tidak surut hingga UU Desa disepakati di Rapat Paripurna DPR RI.  Tak ayal, UU Desa adalah titik nol dari revolusi demokrasi di desa. @budimandjatmiko","{'name': 'Aprilia', 'username': '@ApriliaLin', 'profile_id': '1574638066609684480', 'avatar': 'https://pbs.twimg.com/profile_images/1574638066609684480/G4mkNo2E_bigger.jpg'}","Sep 14, 2024 · 10:44 AM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 2, 'quotes': 0, 'likes': 4}",['https://pbs.twimg.com/media/GXblavsbwAEOFrT.jpg'],[],[]
RUU Desa,https://twitter.com/warga_warta/status/1833468131626652106#m,DPR Tolak 'Power Wheeling' Masuk Pasal dalam RUU EBET https://metrojabar.pikiran-rakyat.com/nasional/pr-3398547774/dpr-tolak-power-wheeling-masuk-pasal-dalam-ruu-ebet?page=all,"{'name': 'Warta Warga Desa', 'username': '@warga_warta', 'profile_id': '1584934024669466624', 'avatar': 'https://pbs.twimg.com/profile_images/1584934024669466624/8SMytvv3_bigger.jpg'}","Sep 10, 2024 · 11:30 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Desa,https://twitter.com/TukangSamber/status/1829793891123662900#m,Dan asal tau saja. RUU Desa yg salah satu pasalnya mengatur perpanjangan masa jabatan kades menjadi 8 tahun itu inisiatif DPR. Bukan pemerintah.,"{'name': 'Tukang Nyamber', 'username': '@TukangSamber', 'profile_id': '1032175876702531584', 'avatar': 'https://pbs.twimg.com/profile_images/1032175876702531584/ihwLDAZa_bigger.jpg'}","Aug 31, 2024 · 8:10 AM UTC",False,False,,"['@bebas_175', '@Tepoz02', '@__AnakKolong']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GWS72NoaUAA70XD.jpg'],[],[]
RUU Desa,https://twitter.com/TukangSamber/status/1829793319888867483#m,"RUU desa itu masuk prolegnas tahun 2023. Disetujui seluruh partai. Termasuk PDIP, pengusung ganjar-mahmud. Gk ada urusan dgn pemenang pilpres. Mau prabowo atau ganjar yg menang. Aturan perpanjangan tetap berlaku. Ganjar aja yg gk rejeki jadi presiden. Hehehe..","{'name': 'Tukang Nyamber', 'username': '@TukangSamber', 'profile_id': '1032175876702531584', 'avatar': 'https://pbs.twimg.com/profile_images/1032175876702531584/ihwLDAZa_bigger.jpg'}","Aug 31, 2024 · 8:08 AM UTC",False,False,,"['@bebas_175', '@Tepoz02', '@__AnakKolong']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Desa,https://twitter.com/GugunDwiGunawa2/status/1829093076272570859#m,Tp RUU Desa kemarin PKS yg merupakan oposisi justru malah ga berani melawan alias S7. Ini membuktikan bahwa mayoritas Parpol itu masih takut dg pejabat² desa ini,"{'name': 'Gugun Dwi Gunawan', 'username': '@GugunDwiGunawa2', 'profile_id': '1832399465707372544', 'avatar': 'https://pbs.twimg.com/profile_images/1832399465707372544/WIqeRQPo_bigger.jpg'}","Aug 29, 2024 · 9:45 AM UTC",False,False,,"['@BWayne2002', '@oyebul']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Desa,https://twitter.com/ComBuana/status/1828970431338164636#m,"Ini mah liburan berbungkus kunjungan kerja,.Brazil mengingatkan pula studi Banding dulu RUU Desa, studinya ke sana..lieur","{'name': 'wira buana', 'username': '@ComBuana', 'profile_id': '1210858541164064774', 'avatar': 'https://pbs.twimg.com/profile_images/1210858541164064774/njzxqmS4_bigger.jpg'}","Aug 29, 2024 · 1:38 AM UTC",False,False,,['@NenkMonica'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Desa,https://twitter.com/SriMs780124/status/1828443610691576220#m,Pret..puji keputusan DPR atas RUU Revisi Pilkada yang dibatalkan padahal Pak Mulyono sebagai lurah desa Konoha dalam hatinya nyesek banget karena anaknya kaga bisa dicagubkan. 'Raja Jawa' Tipu-tipu,"{'name': 'Sri Ms', 'username': '@SriMs780124', 'profile_id': '1743676589387468800', 'avatar': 'https://pbs.twimg.com/profile_images/1743676589387468800/IWlWNFjA_bigger.jpg'}","Aug 27, 2024 · 2:45 PM UTC",False,False,,['@detikcom'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 9}",[],[],[]
RUU Desa,https://twitter.com/welek92/status/1828324410350280832#m,Kemaren pas demo kepala desa anteng anteng aja Knp skarang demo RUU malah rusuh yak,"{'name': '𝕆𝕓𝕒𝕥_𝕟𝕪𝕒𝕞𝕦𝕜', 'username': '@welek92', 'profile_id': '1802036248086982656', 'avatar': 'https://pbs.twimg.com/profile_images/1802036248086982656/-6CHyfzM_bigger.jpg'}","Aug 27, 2024 · 6:51 AM UTC",False,False,,['@neVerAl0nely'],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Desa,https://twitter.com/pandjaitanfv/status/1828016336574054649#m,"Pasca RUU KPU, X jadi lucu banget. Program Jateng 1 desa 1 fithub lah, tiba-tiba bahas mamanya Gu Jun Pyo (gatau tulisannya) milih menantu. Tapi tetep, admin kompas terbaik 👌🏼","{'name': 'Féb', 'username': '@pandjaitanfv', 'profile_id': '1719686360351821824', 'avatar': 'https://pbs.twimg.com/profile_images/1719686360351821824/1obcH72j_bigger.jpg'}","Aug 26, 2024 · 10:27 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Desa,https://twitter.com/KangHendro2/status/1827671789608313075#m,"Sampeyan tanya dulu ke Petinggi di desa sampeyan, apa benar sudah dihubungi dia? Kalau Petinggi di desaku mengaku gak kenal sama dia dan gak pernah pula dihubungi soal RUU 😜😂","{'name': 'Kang Hendro', 'username': '@KangHendro2', 'profile_id': '1726557218915717120', 'avatar': 'https://pbs.twimg.com/profile_images/1726557218915717120/jB9n7pzP_bigger.jpg'}","Aug 25, 2024 · 11:38 AM UTC",False,False,,['@TrisiyoWong'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
