ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU DKJ,https://twitter.com/Gian_JKT48/status/1835091004082601993#m,"RUU DKJ soal gub ditunjuk presiden, ujungnya yg nyalon boneka istana semua","{'name': 'Jiann', 'username': '@Gian_JKT48', 'profile_id': '1836578740694061058', 'avatar': 'https://pbs.twimg.com/profile_images/1836578740694061058/9dOfWJ82_bigger.jpg'}","Sep 14, 2024 · 10:59 PM UTC",False,False,,['@mantriss'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU DKJ,https://twitter.com/Aryprasetyo85/status/1831717073539756332#m,"RUU DKJ Disahkan, Gibran Bakal Punya Kewenangan Besar di Kawasan Aglomerasi?  Salah satu hal yang menjadi perhatian dari RUU DKJ adalah kehadiran kawasan Aglomerasi untuk menyinkronkan pembangunan dengan daerah sekitar. Pada kawasan itu, akan dibentuk Dewan Kawasan Aglomerasi yang dikabarkan akan dipimpin oleh Wakil Presiden. Berdasarkan hasil penghitungan suara Komisi Pemilihan Umum, pasangan Prabowo Subianto-Gibran Rakabuming Raka memenangkan pemilihan presiden-wakil presiden.  Rencana RUU DKJ tersebut pun menuai kritik dari berbagai kalangan masyarakat. Pasalnya, kebijakan itu akan membuat Wakil Presiden memiliki kewenangan melebihi Presiden di Kawasan Aglomerasi. https://bisnis.tempo.co/read/1850761/ruu-dkj-disahkan-gibran-bakal-punya-kewenangan-besar-di-kawasan-aglomerasi","{'name': 'Ary Prasetyo', 'username': '@Aryprasetyo85', 'profile_id': '1432989250132189186', 'avatar': 'https://pbs.twimg.com/profile_images/1432989250132189186/_R5CIxDk_bigger.jpg'}","Sep 5, 2024 · 3:32 PM UTC",False,False,,[],{},"{'comments': 18, 'retweets': 25, 'quotes': 2, 'likes': 69}",['https://pbs.twimg.com/media/GWuQ-HSWwAArHRa.jpg'],[],[]
RUU DKJ,https://twitter.com/Sahabat_Dai/status/1830614649471193187#m,"🤣😂🤣😅  oh mulai 20 Okt ya ? Koq bisa waktu kampanye anti dinasti tp paska gabung prabowo jd pro dinasti, lanjut lawan putusan MK & Pro RUU Pilkada lalu ngaku tidak pro kim-nya mulyono ? Bbrp calon dr kader sendiri kecuali dkj krn KIM larang itu & takut di tendang prabowo 🤣😅","{'name': 'Sahabat Dakwah', 'username': '@Sahabat_Dai', 'profile_id': '1827189775402725377', 'avatar': 'https://pbs.twimg.com/profile_images/1827189775402725377/54s6d9xc_bigger.jpg'}","Sep 2, 2024 · 2:31 PM UTC",False,False,,"['@aindraku', '@azzamrabbani_']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}","['https://pbs.twimg.com/media/GWemUPMXIAAuWy7.jpg', 'https://pbs.twimg.com/media/GWemUP6a0AI6ayD.jpg']",[],[]
RUU DKJ,https://twitter.com/Sahabat_Dai/status/1830506303149703528#m,"Gw bingung ama buzzer pks yg amplifikaasi case dkj terus2an, jd bikin tambah muak/illfeel !!! ini bkn ttg anies ini ttg demokrasi yg terancam krn ulah #PolitisiKacungnyaSolo mrk injak2 aspirasi dgn gabung KIM+, lawan putusan MK, pro dinasti, pro ruu & berubah jd politisi munafik","{'name': 'Sahabat Dakwah', 'username': '@Sahabat_Dai', 'profile_id': '1827189775402725377', 'avatar': 'https://pbs.twimg.com/profile_images/1827189775402725377/54s6d9xc_bigger.jpg'}","Sep 2, 2024 · 7:21 AM UTC",False,False,,['@afifahafra79'],{},"{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 7}",[],['https://video.twimg.com/ext_tw_video/1830506225022435328/pu/pl/SXNxQtDYQgQhOmO5.m3u8?tag=12'],[]
RUU DKJ,https://twitter.com/cumamaubaca_aja/status/1829863848209485902#m,"RUU DKJ pembahasannya DPR & pem pusat, kebijakan pemdanya ttp pembangunan dan rakyat miskin kota. lagipula gw kan ng ajak2 org tuk ng milih.. ini pilihan gw krn semua bagus.. bikin bingung.","{'name': 'iman komunikasi', 'username': '@cumamaubaca_aja', 'profile_id': '1569973709036990464', 'avatar': 'https://pbs.twimg.com/profile_images/1569973709036990464/TnrD3Ry6_bigger.png'}","Aug 31, 2024 · 12:48 PM UTC",False,False,,"['@RickyHs96463', '@PakarINTELek']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU DKJ,https://twitter.com/HIBIKUN_/status/1829355785379565927#m,"ruu dkj gagal, pilkada akal2an pun jadi","{'name': 'hibikun 💤', 'username': '@HIBIKUN_', 'profile_id': '1795860021605285888', 'avatar': 'https://pbs.twimg.com/profile_images/1795860021605285888/agnSXUTK_bigger.jpg'}","Aug 30, 2024 · 3:09 AM UTC",False,False,,['@realfedinuril'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU DKJ,https://twitter.com/Frandiazzerd/status/1829223083225592052#m,Misi nya lewat RUU PILKADA ( ditolak dpr )  ganti jokowi dan prabs pecah kongsi ( padahal engga ) ganti lagi soal jet pribadi ( didiemin ) ganti soal calon gubernur DKJ ( ga dicalonin ) ganti cagub jabar ( ditolak ) skarang ganti nyerang akun lama  gibran ( pdhal bikinan 2023 ),"{'name': 'Berry A', 'username': '@Frandiazzerd', 'profile_id': '378800000326570105', 'avatar': 'https://pbs.twimg.com/profile_images/378800000326570105/4845bacbba15bcb16164f828ad3e86a7_bigger.jpeg'}","Aug 29, 2024 · 6:22 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU DKJ,https://twitter.com/Bisniscom/status/1829039422387687651#m,"DPR Sahkan 63 RUU jadi Undang-Undang Selama 5 Tahun, Ada IKN hingga DKJ https://kabar24.bisnis.com/read/20240829/15/1795168/dpr-sahkan-63-ruu-jadi-undang-undang-selama-5-tahun-ada-ikn-hingga-dkj?utm_source=dlvr.it&utm_medium=twitter","{'name': 'Bisnis.com', 'username': '@Bisniscom', 'profile_id': '1598573955513692160', 'avatar': 'https://pbs.twimg.com/profile_images/1598573955513692160/leorpOyo_bigger.jpg'}","Aug 29, 2024 · 6:12 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU DKJ,https://twitter.com/VIVAcoid/status/1829027468931395895#m,"Puan Pamer Keberhasilan DPR Selesaikan 63 RUU: IKN, ASN hingga DKJ dlvr.it/TCVyHb","{'name': 'VivaCoid', 'username': '@VIVAcoid', 'profile_id': '1498613446505799688', 'avatar': 'https://pbs.twimg.com/profile_images/1498613446505799688/UYXAa7Ab_bigger.jpg'}","Aug 29, 2024 · 5:25 AM UTC",False,False,,[],{},"{'comments': 2, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU DKJ,https://twitter.com/kumparan/status/1829011486049743142#m,Puan Sebut DPR Selesaikan 63 RUU: IKN hingga DKJ #newsupdate #update #news #text https://kumparan.com/kumparannews/puan-sebut-dpr-selesaikan-63-ruu-ikn-hingga-dkj-23Q4yCGfrbr?utm_source=Twitter&utm_medium=post&utm_campaign=int,"{'name': 'kumparan', 'username': '@kumparan', 'profile_id': '1834219801319014400', 'avatar': 'https://pbs.twimg.com/profile_images/1834219801319014400/Rc1QgiEg_bigger.jpg'}","Aug 29, 2024 · 4:21 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
