ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU Konservasi,https://twitter.com/tvr_parlemen/status/1833710211909222473#m,"TVR 120 - Komisi IV DPR RI : Setujui RUU KSDAHE Dibawa Ke Paripurna  Komisi IV DPR RI, komite II DPD RI serta pemerintah menyepakati, naskah RUU konservasi sumber daya alam hayati dan ekosistem atau ksdahe.  #TVRParlemen #breakingnews #DPRRI #tvr120 https://piped.video/T1kLOq9Skmk","{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}","Sep 11, 2024 · 3:32 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Konservasi,https://twitter.com/tvr_parlemen/status/1833382507867525564#m,"TVR 120- Komisi IV DPR RI : Setujui RUU KSDAHE Dibawa Ke Paripurna  Komisi IV DPR RI, komite II DPD RI serta pemerintah menyepakati, naskah RUU konservasi sumber daya alam hayati&ekosistem atau ksdahe, dibawa ke pembahasan di tingkat II #TVRParlemen #DPRRI https://piped.video/T1kLOq9Skmk","{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}","Sep 10, 2024 · 5:50 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Konservasi,https://twitter.com/Indorelawan/status/1828403101231133097#m,Manuver Baleg DPR yang ngebut banget buat mengesahkan UU Pilkada (diproses kurang dari 24 jam) malah menunda pembahasan RUU lain yang gak kalah darurat. Diantaranya RUU Perlindungan Pekerja Rumah Tangga dan revisi RUU Konservasi Sumber Daya Alam Hayati &  Ekosistem.,"{'name': 'Indorelawan', 'username': '@Indorelawan', 'profile_id': '946298749894004742', 'avatar': 'https://pbs.twimg.com/profile_images/946298749894004742/B7yNlL5m_bigger.jpg'}","Aug 27, 2024 · 12:04 PM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GV_K7jAbQAA3-CY.jpg'],[],[]
RUU Konservasi,https://twitter.com/amnesty_unair/status/1828019944237539410#m,"–dalam memenuhi hak-hak masyarakat lokal dan konservasi lingkungan.   RUU KSDAHE membawa daftar panjang permasalahan, dan dianggap malah membuka pintu yang lebar untuk praktik industrialisasi dan neoliberasi lingkungan.","{'name': 'Amnesty Universitas Airlangga', 'username': '@amnesty_unair', 'profile_id': '1830760177043132419', 'avatar': 'https://pbs.twimg.com/profile_images/1830760177043132419/6HsbqMI2_bigger.jpg'}","Aug 26, 2024 · 10:41 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GV5U87Ca8AAuWwZ.jpg'],[],[]
RUU Konservasi,https://twitter.com/betahita_id/status/1821712775732994067#m,"Sebulan lalu, pada 9 Juli 2024, pemerintah mengesahkan Rancangan Undang-Undang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (RUU KSDAHE). dlvr.it/TBh9DW","{'name': 'Betahita.id', 'username': '@betahita_id', 'profile_id': '1556931481502883840', 'avatar': 'https://pbs.twimg.com/profile_images/1556931481502883840/UGTxJ9n8_bigger.jpg'}","Aug 9, 2024 · 12:59 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Konservasi,https://twitter.com/tvr_parlemen/status/1818558894588969191#m,TVR 120- Komisi IV DPR RI: RUU KSDAHE Wujud Dukungan Pelestarian Alam  Komisi empat DPR RI membahas RUU tentang Konservasi  KSDAHE. Khususnya terkait  keberlangsungan Konservasi dan wilayah perairan. #TVRParlemen #livestreaming #breakingnews #DPRRI #tvr120 https://piped.video/gU_71eg2wUA,"{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}","Jul 31, 2024 · 8:06 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Konservasi,https://twitter.com/Iqbalnyamala/status/1818293408559161680#m,Pada RUU KSDAE masyarakat diakokodasi daam bentuk Daerah Perlindungan Kearifan Lokal dan Area Konservasi Kelola Masyarakat. Tinggal dipantau apakah betul memberikan manfaat bagi masyarakat adat.,"{'name': 'Beternak Kelulut', 'username': '@Iqbalnyamala', 'profile_id': '1504838795933663240', 'avatar': 'https://pbs.twimg.com/profile_images/1504838795933663240/gE5AuvFw_bigger.jpg'}","Jul 30, 2024 · 2:31 PM UTC",False,False,,['@A_Komarud'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Konservasi,https://twitter.com/kkpgoid/status/1812830598589030741#m,"#SahabatBahari,9 Juli lalu DPR RI baru saja mengesahkan RUU KSDAHE menjadi Undang-Undang tentang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (KSDAHE) guna meningkatkan efektivitas pengelolaan kawasan konservasi,termasuk perlindungan terhadap beragam spesies di perairan","{'name': 'KKP RI', 'username': '@kkpgoid', 'profile_id': '1741268782855974912', 'avatar': 'https://pbs.twimg.com/profile_images/1741268782855974912/hWlsTkFS_bigger.jpg'}","Jul 15, 2024 · 12:44 PM UTC",False,False,,[],{},"{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 4}",['https://pbs.twimg.com/media/GSh30MFa4AEHa-L.jpg'],[],[]
RUU Konservasi,https://twitter.com/hariankompas/status/1811740603358806100#m,Sejumlah aspek penegakan hukum masih terbatas dan dinilai kurang terakomodasi dalam RUU Konservasi. baca.komp.as/T9Vc2R #Humaniora #AdadiKompas,"{'name': 'Harian Kompas', 'username': '@hariankompas', 'profile_id': '1810124683188350976', 'avatar': 'https://pbs.twimg.com/profile_images/1810124683188350976/RS_tUqhb_bigger.jpg'}","Jul 12, 2024 · 12:33 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Konservasi,https://twitter.com/KompasKlasika/status/1811740598665380235#m,Sejumlah aspek penegakan hukum masih terbatas dan dinilai kurang terakomodasi dalam RUU Konservasi. baca.komp.as/T9Vc0w #Humaniora #AdadiKompas,"{'name': 'Kompas Klasika', 'username': '@KompasKlasika', 'profile_id': '1810211068792496128', 'avatar': 'https://pbs.twimg.com/profile_images/1810211068792496128/neQmvG5S_bigger.jpg'}","Jul 12, 2024 · 12:33 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
