ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU KSDAHE,https://twitter.com/tvr_parlemen/status/1834084974146060310#m,"Lensa Parlemen - RUU KSDAHE : Komitmen Jaga Kelestarian Alam Dan Lingkungan  Komisi IV DPR RI, Komite II DPD RI, serta Pemerintah menyepakati naskah RUU KSDAHE, untuk dilakukan pembahasan di Tingkat II, dalam Rapat Parnipurna DPR RI.  #TVRParlemen #DPRRI https://piped.video/m2JphQGSHCE","{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}","Sep 12, 2024 · 4:21 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU KSDAHE,https://twitter.com/tvr_parlemen/status/1833710211909222473#m,"TVR 120 - Komisi IV DPR RI : Setujui RUU KSDAHE Dibawa Ke Paripurna  Komisi IV DPR RI, komite II DPD RI serta pemerintah menyepakati, naskah RUU konservasi sumber daya alam hayati dan ekosistem atau ksdahe.  #TVRParlemen #breakingnews #DPRRI #tvr120 https://piped.video/T1kLOq9Skmk","{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}","Sep 11, 2024 · 3:32 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU KSDAHE,https://twitter.com/tvr_parlemen/status/1833382507867525564#m,"TVR 120- Komisi IV DPR RI : Setujui RUU KSDAHE Dibawa Ke Paripurna  Komisi IV DPR RI, komite II DPD RI serta pemerintah menyepakati, naskah RUU konservasi sumber daya alam hayati&ekosistem atau ksdahe, dibawa ke pembahasan di tingkat II #TVRParlemen #DPRRI https://piped.video/T1kLOq9Skmk","{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}","Sep 10, 2024 · 5:50 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU KSDAHE,https://twitter.com/Indorelawan/status/1828409059353284626#m,"RUU PPRT dan UU KSDAHE adalah kebutuhan rakyat yang belum diakomodasi oleh pemerintah. Sementara UU Pilkada, siapa yang minta? kepentingan siapa yang DPR bela ketika UU Pilkada direvisi?","{'name': 'Indorelawan', 'username': '@Indorelawan', 'profile_id': '946298749894004742', 'avatar': 'https://pbs.twimg.com/profile_images/946298749894004742/B7yNlL5m_bigger.jpg'}","Aug 27, 2024 · 12:27 PM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/amnesty_unair/status/1828019947890745578#m,Bagaimana pendapat kalian tentang rancangan undang-undang ini? Baca lebih lanjut kajian kami tentang RUU KSDAHE di Medium Amnesty Unair!  https://bit.ly/kajianamnestyunair5,"{'name': 'Amnesty Universitas Airlangga', 'username': '@amnesty_unair', 'profile_id': '1830760177043132419', 'avatar': 'https://pbs.twimg.com/profile_images/1830760177043132419/6HsbqMI2_bigger.jpg'}","Aug 26, 2024 · 10:41 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GV5VJgzaIAAe5oZ.jpg'],[],[]
RUU KSDAHE,https://twitter.com/amnesty_unair/status/1828019944237539410#m,"–dalam memenuhi hak-hak masyarakat lokal dan konservasi lingkungan.   RUU KSDAHE membawa daftar panjang permasalahan, dan dianggap malah membuka pintu yang lebar untuk praktik industrialisasi dan neoliberasi lingkungan.","{'name': 'Amnesty Universitas Airlangga', 'username': '@amnesty_unair', 'profile_id': '1830760177043132419', 'avatar': 'https://pbs.twimg.com/profile_images/1830760177043132419/6HsbqMI2_bigger.jpg'}","Aug 26, 2024 · 10:41 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GV5U87Ca8AAuWwZ.jpg'],[],[]
RUU KSDAHE,https://twitter.com/amnesty_unair/status/1828019935156789505#m,Mencurigai RUU Perubahan KSDAHE sebagai Strategi Ekspansi Industri Kapitalis,"{'name': 'Amnesty Universitas Airlangga', 'username': '@amnesty_unair', 'profile_id': '1830760177043132419', 'avatar': 'https://pbs.twimg.com/profile_images/1830760177043132419/6HsbqMI2_bigger.jpg'}","Aug 26, 2024 · 10:41 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GV5Ul6pbYAA4j3S.jpg'],[],[]
RUU KSDAHE,https://twitter.com/betahita_id/status/1821712775732994067#m,"Sebulan lalu, pada 9 Juli 2024, pemerintah mengesahkan Rancangan Undang-Undang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (RUU KSDAHE). dlvr.it/TBh9DW","{'name': 'Betahita.id', 'username': '@betahita_id', 'profile_id': '1556931481502883840', 'avatar': 'https://pbs.twimg.com/profile_images/1556931481502883840/UGTxJ9n8_bigger.jpg'}","Aug 9, 2024 · 12:59 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/tvr_parlemen/status/1818558894588969191#m,TVR 120- Komisi IV DPR RI: RUU KSDAHE Wujud Dukungan Pelestarian Alam  Komisi empat DPR RI membahas RUU tentang Konservasi  KSDAHE. Khususnya terkait  keberlangsungan Konservasi dan wilayah perairan. #TVRParlemen #livestreaming #breakingnews #DPRRI #tvr120 https://piped.video/gU_71eg2wUA,"{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}","Jul 31, 2024 · 8:06 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU KSDAHE,https://twitter.com/fwindonesia/status/1816016370146201611#m,Lalu apa saja sih yang jadi kekhawatiran masyarakat dan cso soal RUU KSDAHE ini?,"{'name': 'Forest Watch Indonesia', 'username': '@fwindonesia', 'profile_id': '1352155386149670912', 'avatar': 'https://pbs.twimg.com/profile_images/1352155386149670912/wIlEwPBD_bigger.jpg'}","Jul 24, 2024 · 7:43 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}","['https://pbs.twimg.com/media/GTPJQgBaYAEsQ9F.jpg', 'https://pbs.twimg.com/media/GTPJQgEaYAAviH5.jpg']",[],[]
RUU KSDAHE,https://twitter.com/fwindonesia/status/1816016331831140530#m,Konsep RUU KSDAHE Menyesatkan? Kok bisa?   Yuk simak thread di bawah ini!  #bongkarfakta #transparansiSDA #UbahBukanRevisi,"{'name': 'Forest Watch Indonesia', 'username': '@fwindonesia', 'profile_id': '1352155386149670912', 'avatar': 'https://pbs.twimg.com/profile_images/1352155386149670912/wIlEwPBD_bigger.jpg'}","Jul 24, 2024 · 7:43 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GTPJOPkaYAIX9IQ.jpg'],[],[]
RUU KSDAHE,https://twitter.com/kkpgoid/status/1812830598589030741#m,"#SahabatBahari,9 Juli lalu DPR RI baru saja mengesahkan RUU KSDAHE menjadi Undang-Undang tentang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (KSDAHE) guna meningkatkan efektivitas pengelolaan kawasan konservasi,termasuk perlindungan terhadap beragam spesies di perairan","{'name': 'KKP RI', 'username': '@kkpgoid', 'profile_id': '1741268782855974912', 'avatar': 'https://pbs.twimg.com/profile_images/1741268782855974912/hWlsTkFS_bigger.jpg'}","Jul 15, 2024 · 12:44 PM UTC",False,False,,[],{},"{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 4}",['https://pbs.twimg.com/media/GSh30MFa4AEHa-L.jpg'],[],[]
RUU KSDAHE,https://twitter.com/kabarlhk/status/1812111184574722251#m,"RUU KSDAHE Disetujui DPR RI, Begini Reaksi Menteri LHK https://www.kabaralam.com/berita/59313122418/ruu-ksdahe-disetujui-dpr-ri-begini-reaksi-menteri-lhk","{'name': 'kabar alam', 'username': '@kabarlhk', 'profile_id': '1571888849915367424', 'avatar': 'https://pbs.twimg.com/profile_images/1571888849915367424/9KzVO2dy_bigger.jpg'}","Jul 13, 2024 · 1:05 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/beritaKBR/status/1811740359388725701#m,"Kontingen Indonesia berangkat untuk berlaga di ajang Olimpiade Paris 2024! Kita doakan yang terbaik untuk Indonesia ya Sapieners!  Anyway, RUU Konservasi Sumber Daya Alam Hayati dan Ekosistem (RUU KSDAHE) telah disahkan DPR. RUU yang delapan tahun wara wiri di prolegnas ini tiba-tiba sah meski masih menuai penolakan karena dinilai merugikan rakyat khususnya masyarakat adat. Kami bahas ini bareng Manager Kampanye Hutan dan Kebun @walhinasional Uli Arta Siagian.  Selengkapnya kamu bisa dengerin di  Podcast #FOMOSapiens https://kbrprime.id/podcast/fomo-sapiens/indonesia-ikut-olimpiade-dan-pengesahan-ruu-konservasi-51012 #PodcastIndonesia #OlimpiadeParis2024 #atlet #DiditPrabowo #RUUKSDAHE","{'name': 'KBR', 'username': '@beritaKBR', 'profile_id': '1572505996567916546', 'avatar': 'https://pbs.twimg.com/profile_images/1572505996567916546/q8YX8Xxg_bigger.jpg'}","Jul 12, 2024 · 12:32 PM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GSSYQWragAI4c7c.jpg'],[],[]
RUU KSDAHE,https://twitter.com/usembassyjkt/status/1811699107884568734#m,Selamat kepada Pemerintah Indonesia atas disahkannya revisi Undang-Undang No 5 thn 1990 tentang Konservasi Sumber Daya Alam Hayati dan Ekosistem (RUU KSDAHE) menjadi undang-undang! 🌿  Pencapaian signifikan ini menandai langkah maju yang besar dalam melindungi keanekaragaman hayati Indonesia dan mendorong pembangunan berkelanjutan. AS siap mendukung Indonesia dalam upaya konservasinya dan berharap dapat melanjutkan kolaborasi dalam melestarikan planet kita untuk generasi mendatang.🌏   #ASRIselalu🌱 #IndonesiaUSA75🇮🇩🇺🇸  @KemenLHK @kkpgoid @DPR_RI,"{'name': 'usembassyjkt', 'username': '@usembassyjkt', 'profile_id': '1554726358541930497', 'avatar': 'https://pbs.twimg.com/profile_images/1554726358541930497/EEUAPLNW_bigger.jpg'}","Jul 12, 2024 · 9:48 AM UTC",False,False,,[],{},"{'comments': 3, 'retweets': 1, 'quotes': 1, 'likes': 8}",[],[],[]
RUU KSDAHE,https://twitter.com/inang_hasiholan/status/1811669272621646117#m,Legislator Partai Gerindra ini juga menambahkan bahwa RUU KSDAHE juga mengatur kejelasan kewenangan konservasi sumber daya alam hayati dan ekosistemnya.,"{'name': 'Inang Hasiholan', 'username': '@inang_hasiholan', 'profile_id': '820829543095103489', 'avatar': 'https://pbs.twimg.com/profile_images/820829543095103489/OX3Jx0Jy_bigger.jpg'}","Jul 12, 2024 · 7:49 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/inang_hasiholan/status/1811669264287564096#m,"Tentang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (RUU KSDAHE) pada, Selasa (9/7/2024).","{'name': 'Inang Hasiholan', 'username': '@inang_hasiholan', 'profile_id': '820829543095103489', 'avatar': 'https://pbs.twimg.com/profile_images/820829543095103489/OX3Jx0Jy_bigger.jpg'}","Jul 12, 2024 · 7:49 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/inang_hasiholan/status/1811669260361695743#m,Dengan mengatakan RUU KSDAHE akan memperkuat konservasi sumber daya alam hayati dan keseimbangan ekosistem.,"{'name': 'Inang Hasiholan', 'username': '@inang_hasiholan', 'profile_id': '820829543095103489', 'avatar': 'https://pbs.twimg.com/profile_images/820829543095103489/OX3Jx0Jy_bigger.jpg'}","Jul 12, 2024 · 7:49 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/inang_hasiholan/status/1811669255768965622#m,Budi Djiwandono: Pengesahan RUU KSDAHE Bentuk Komit Kelestarian Lingkungan dan Keseimbangan Ekosistem  https://gerindra.id/2024/07/09/budi-djiwandono-pengesahan-ruu-ksdahe-bentuk-komit-kelestarian-lingkungan-dan-keseimbangan-ekosistem/,"{'name': 'Inang Hasiholan', 'username': '@inang_hasiholan', 'profile_id': '820829543095103489', 'avatar': 'https://pbs.twimg.com/profile_images/820829543095103489/OX3Jx0Jy_bigger.jpg'}","Jul 12, 2024 · 7:49 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GSRXYnaagAA77Kp.jpg'],[],[]
RUU KSDAHE,https://twitter.com/Rizwariryb/status/1811668457022468200#m,Legislator Partai Gerindra ini juga menambahkan bahwa RUU KSDAHE juga mengatur kejelasan kewenangan konservasi sumber daya alam hayati dan ekosistemnya.,"{'name': 'Riz', 'username': '@Rizwariryb', 'profile_id': '703873418794508288', 'avatar': 'https://pbs.twimg.com/profile_images/703873418794508288/eHe6_mRQ_bigger.jpg'}","Jul 12, 2024 · 7:46 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/Rizwariryb/status/1811668448386384086#m,"Tentang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (RUU KSDAHE) pada, Selasa (9/7/2024).","{'name': 'Riz', 'username': '@Rizwariryb', 'profile_id': '703873418794508288', 'avatar': 'https://pbs.twimg.com/profile_images/703873418794508288/eHe6_mRQ_bigger.jpg'}","Jul 12, 2024 · 7:46 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/Rizwariryb/status/1811668444284355050#m,Dengan mengatakan RUU KSDAHE akan memperkuat konservasi sumber daya alam hayati dan keseimbangan ekosistem.,"{'name': 'Riz', 'username': '@Rizwariryb', 'profile_id': '703873418794508288', 'avatar': 'https://pbs.twimg.com/profile_images/703873418794508288/eHe6_mRQ_bigger.jpg'}","Jul 12, 2024 · 7:46 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU KSDAHE,https://twitter.com/Rizwariryb/status/1811668439687397776#m,Budi Djiwandono: Pengesahan RUU KSDAHE Bentuk Komit Kelestarian Lingkungan dan Keseimbangan Ekosistem  https://gerindra.id/2024/07/09/budi-djiwandono-pengesahan-ruu-ksdahe-bentuk-komit-kelestarian-lingkungan-dan-keseimbangan-ekosistem/,"{'name': 'Riz', 'username': '@Rizwariryb', 'profile_id': '703873418794508288', 'avatar': 'https://pbs.twimg.com/profile_images/703873418794508288/eHe6_mRQ_bigger.jpg'}","Jul 12, 2024 · 7:46 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GSRWqLLacAAFT_F.jpg'],[],[]
RUU KSDAHE,https://twitter.com/yayasanepistema/status/1811294099628286265#m,Masyarakat Sipil dan Adat Tolak Pengesahan RUU KSDAHE pada 11 Juli|https://www.msn.com/id-id/berita/teknologidansains/masyarakat-sipil-dan-adat-tolak-pengesahan-ruu-ksdahe-pada-11-juli/ar-BB1oY0rO?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,"{'name': 'Epistema Institute', 'username': '@yayasanepistema', 'profile_id': '1342656437609066502', 'avatar': 'https://pbs.twimg.com/profile_images/1342656437609066502/zGQ8aAds_bigger.jpg'}","Jul 11, 2024 · 6:59 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
