ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU Lembaga Kepresidenan,https://twitter.com/Bud_Cavalera/status/1835995772405625167#m,"Dalam sistem presidensial RUU perampasan aset mandeg jangan nyalahin dpr karena lembaga kepresidenan juga punya legislasi yg dominan, yg ada sekarang ini Presiden Sial","{'name': 'Maling Cundang', 'username': '@Bud_Cavalera', 'profile_id': '1717009009226780672', 'avatar': 'https://pbs.twimg.com/profile_images/1717009009226780672/axmTIJcj_bigger.jpg'}","Sep 17, 2024 · 10:54 AM UTC",False,False,,['@PartaiSocmed'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/Verintyaz33/status/1834062183539638749#m,RUU Wantimpres akan meningkatkan kapabilitas lembaga penasihat kepresidenan untuk mendukung pemerintah. #RUU Wantimpres #SahabatWantimpres,"{'name': 'Verin Tyaz', 'username': '@Verintyaz33', 'profile_id': '1742023296424751104', 'avatar': 'https://pbs.twimg.com/profile_images/1742023296424751104/4Mpaa6zw_bigger.jpg'}","Sep 12, 2024 · 2:51 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GXPl1Oia4AAyV4s.jpg'],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/ferrykoto/status/1831509143804637339#m,"Semogalah @DPR_RI saat ini, atau yg akan bertugas periode mendatang segera membahas dan mensahkan RUU Lembaga Kepresidenan.  Ojo males2 sekali bekerja. Karena gaji kalian sudah demikian besar dibayar negara untuk membuat UU.  Jgn sampai muncul masalah, baru ramai dan ribut.  End.","{'name': 'Ferry Koto', 'username': '@ferrykoto', 'profile_id': '1642519999003901953', 'avatar': 'https://pbs.twimg.com/profile_images/1642519999003901953/vxLslPUC_bigger.jpg'}","Sep 5, 2024 · 1:46 AM UTC",False,False,,[],{},"{'comments': 6, 'retweets': 1, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/Harian_Jogja/status/1815578317883576489#m,"Kendati begitu, Kepala Kantor Staf Kepresidenan (KSP) Moeldoko meminta agar masyarakat tidak perlu khawatir dengan RUU TNI yang tengah menjadi sorotan. Lembaga pertahanan Negara itu akan terus berfokus untuk mengedepankan profesional seperti yang diinginkan masyarakat","{'name': 'Harian Jogja', 'username': '@Harian_Jogja', 'profile_id': '1427303328707321865', 'avatar': 'https://pbs.twimg.com/profile_images/1427303328707321865/hoiphJoT_bigger.jpg'}","Jul 23, 2024 · 2:42 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/kompasiana/status/1800475456673861747#m,"Membentuk Presidential Club atau RUU Lembaga Kepresidenan, Lebih Penting Mana? dlvr.it/T86tSJ","{'name': 'Kompasiana', 'username': '@kompasiana', 'profile_id': '1715891147527315456', 'avatar': 'https://pbs.twimg.com/profile_images/1715891147527315456/RiUFFQ-R_bigger.jpg'}","Jun 11, 2024 · 10:29 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 1, 'likes': 1}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/ZAMANe_id/status/1784636644601328017#m,"Harus Ada UU yang Mengatur Kekuasaan Presiden dan Pentingnya Pembenahan Partai Politik   Indonesia sudah memiliki rancangan undang-undang (RUU) Lembaga Kepresidenan yang disusun sejak 2001. Namun selama 23 tahun, proses pembahasannya terhenti. Mengapa?  https://www.zamane.id/2024/04/harus-ada-uu-yang-mengatur-kekuasaan.html","{'name': 'ZAMAN e.id - Majalah Online', 'username': '@ZAMANe_id', 'profile_id': '1818229437101744129', 'avatar': 'https://pbs.twimg.com/profile_images/1818229437101744129/95TuR5jg_bigger.jpg'}","Apr 28, 2024 · 5:31 PM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 6, 'quotes': 0, 'likes': 7}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/de_folder/status/1784562429567062176#m,"Indonesia sudah memiliki rancangan undang-undang (RUU) Lembaga Kepresidenan yang disusun sejak 2001. Namun selama 23 tahun, proses pembahasannya terhenti. Mengapa?  Harus Ada UU yang Mengatur Kekuasaan Presiden dan Pentingnya Pembenahan Partai Politik  https://www.zamane.id/2024/04/harus-ada-uu-yang-mengatur-kekuasaan.html","{'name': 'DeFolder', 'username': '@de_folder', 'profile_id': '1807021075458564096', 'avatar': 'https://pbs.twimg.com/profile_images/1807021075458564096/DcgnvaSv_bigger.jpg'}","Apr 28, 2024 · 12:36 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 11, 'quotes': 0, 'likes': 8}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/beritaKBR/status/1783812402926281076#m,"Anggota DPR Guspardi setuju jika RUU Lembaga Kepresidenan bisa digulirkan di parlemen. Namun perlu ada kajian, pembahasan dan dialektika yang harus dikembangkan.  #RUULembagaKepresidenan https://kbr.id/berita/nasional/anggota-komisi-ii-dpr-ri-ruu-lembaga-kepresidenan-perlu-kajian-komprehensif","{'name': 'KBR', 'username': '@beritaKBR', 'profile_id': '1572505996567916546', 'avatar': 'https://pbs.twimg.com/profile_images/1572505996567916546/q8YX8Xxg_bigger.jpg'}","Apr 26, 2024 · 10:56 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/nusantara_kini/status/1783469974088253450#m,DPR: Gagasan RUU Lembaga Kepresidenan Perlu Dikaji Secara Menyeluruh  https://nusantaraterkini.co/dpr-gagasan-ruu-lembaga-kepresidenan-perlu-dikaji-secara-menyeluruh,"{'name': 'nusantara terkini', 'username': '@nusantara_kini', 'profile_id': '1795411672804610048', 'avatar': 'https://pbs.twimg.com/profile_images/1795411672804610048/5KudOlds_bigger.jpg'}","Apr 25, 2024 · 12:15 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/CLSFHUGM/status/1782733600179544124#m,6. Seluruh elemen masyarakat untuk turut mengawal dan mendukung gagasan pelanjutan proses legislasi RUU Lembaga Kepresidenan hingga disahkan menjadi UU.,"{'name': 'CLS FH UGM', 'username': '@CLSFHUGM', 'profile_id': '1266703215011098624', 'avatar': 'https://pbs.twimg.com/profile_images/1266703215011098624/CFStnyQK_bigger.jpg'}","Apr 23, 2024 · 11:29 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/CLSFHUGM/status/1782733567849889938#m,"4. Presiden dan DPR-RI untuk mengesahkan RUU Lembaga Kepresidenan menjadi UU; 5. Seluruh pembelajar Ilmu Hukum, terkhusus pembelajar Ilmu Hukum Tata Negara untuk mengawal dan mendukung gagasan pelanjutan proses legislasi RUU Lembaga Kepresidenan hingga disahkan menjadi UU; dan","{'name': 'CLS FH UGM', 'username': '@CLSFHUGM', 'profile_id': '1266703215011098624', 'avatar': 'https://pbs.twimg.com/profile_images/1266703215011098624/CFStnyQK_bigger.jpg'}","Apr 23, 2024 · 11:29 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/CLSFHUGM/status/1782733507808329987#m,2. Komisi III DPR-RI untuk mengadakan kembali pembahasan RUU Lembaga Kepresidenan; 3. Badan Legislasi DPR-RI untuk menempatkan RUU Lembaga Kepresidenan pada daftar Program Legislasi Nasional (Prolegnas) RUU Prioritas tahun 2024;,"{'name': 'CLS FH UGM', 'username': '@CLSFHUGM', 'profile_id': '1266703215011098624', 'avatar': 'https://pbs.twimg.com/profile_images/1266703215011098624/CFStnyQK_bigger.jpg'}","Apr 23, 2024 · 11:29 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Lembaga Kepresidenan,https://twitter.com/CLSFHUGM/status/1782733446214996089#m,"Oleh sebab itu, kami menolak lupa eksistensi RUU Lembaga Kepresidenan dan menuntut dengan tegas: 1. Presiden dan Wakil Presiden RI terpilih untuk bersedia kekuasaannya dibatasi melalui peraturan perundang-undangan khusus;","{'name': 'CLS FH UGM', 'username': '@CLSFHUGM', 'profile_id': '1266703215011098624', 'avatar': 'https://pbs.twimg.com/profile_images/1266703215011098624/CFStnyQK_bigger.jpg'}","Apr 23, 2024 · 11:29 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
