ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU Masyarakat Adat,https://twitter.com/kawula_17/status/1836398436012429362#m,Bu/pak… apa kabar RUU Masyarakat Adat yang udah 20 tahun nunggu…   RUU PPRT yang juga udah nunggu 20 tahun…   RUU Perampasan Aset juga udah 14 tahun loh… 😫,"{'name': 'Kawula17.id', 'username': '@kawula_17', 'profile_id': '1751045001352777729', 'avatar': 'https://pbs.twimg.com/profile_images/1751045001352777729/TFRBSxfJ_bigger.jpg'}","Sep 18, 2024 · 1:34 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Masyarakat Adat,https://twitter.com/KaoemTelapak/status/1835496043204812859#m,"""Seniman Indonesia, Iwa K @iwaktherockfish mendukung #SahkanRUUMasyarakatAdat. Ia berharap RUU ini disahkan agar membawa manfaat nyata bagi Masyarakat Adat di seluruh Indonesia.","{'name': 'Kaoem Telapak', 'username': '@KaoemTelapak', 'profile_id': '1747216110452461568', 'avatar': 'https://pbs.twimg.com/profile_images/1747216110452461568/NpV0QmNA_bigger.jpg'}","Sep 16, 2024 · 1:48 AM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GXj9UHkaAAA1yYl.jpg'],[],[]
RUU Masyarakat Adat,https://twitter.com/PWYP_Indonesia/status/1835913769563894200#m,"Among PADI RUU masyarakat adat belum disahkan setelah 2 periode presiden. PADI telah membuat peta tata ruang hutan adat di Kalimantan Timur, dengan hanya 18 provinsi yang memasukkan wilayah adat (hanya Papua). Pengakuan masyarakat adat memerlukan pendekatan politik dan sosial-administratif.","{'name': 'PWYP Indonesia', 'username': '@PWYP_Indonesia', 'profile_id': '975684026626318336', 'avatar': 'https://pbs.twimg.com/profile_images/975684026626318336/bYK5UucH_bigger.jpg'}","Sep 17, 2024 · 5:28 AM UTC",True,False,,[],{},"{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Masyarakat Adat,https://twitter.com/korantempo/status/1559767485871984640#m,"Setelah Indonesia 77 tahun merdeka, pengakuan negara atas hak masyarakat adat seperti jalan di tempat.   Tak kunjung disahkannya RUU Masyarakat Hukum Adat membuat komunitas adat tertatih-tatih berjuang sendirian.  Simak edisi terbaru #KoranTempo, klik https://koran.tempo.co","{'name': 'Koran Tempo', 'username': '@korantempo', 'profile_id': '1448919922839474177', 'avatar': 'https://pbs.twimg.com/profile_images/1448919922839474177/z-ToqEAj_bigger.jpg'}","Aug 17, 2022 · 5:02 AM UTC",True,False,,[],{},"{'comments': 14, 'retweets': 167, 'quotes': 10, 'likes': 507}",['https://pbs.twimg.com/media/FaVn8djakAUGmUk.jpg'],[],[]
RUU Masyarakat Adat,https://twitter.com/NyiMasRuminah/status/1835530761027613156#m,Woy...musuh Eloe ITU parlemen. RUU masyarakat adat disandera di DPR. Ampyun loe ya salahin Jokowi terus,"{'name': 'BubarkanPK$ #FNI #TT', 'username': '@NyiMasRuminah', 'profile_id': '1664857823082315777', 'avatar': 'https://pbs.twimg.com/profile_images/1664857823082315777/wybsWu-w_bigger.jpg'}","Sep 16, 2024 · 4:06 AM UTC",False,False,,['@S4N_W1B1'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",[],[],[]
RUU Masyarakat Adat,https://twitter.com/und_cuckoosnest/status/1834208610630451601#m,"Publik lagi pada dorong RUU PPRT dan Masyarakat Adat, DPR malah lagi-lagi ngebut RUU yg ga ada urgensinya buat publik.  #PeringatanDarurat #DaruratDemokrasi #DaruratAPBNbocor #prabocor20142024","{'name': 'flyingundercuckoosnest #IngatAfifMaulana', 'username': '@und_cuckoosnest', 'profile_id': '1826164253390196738', 'avatar': 'https://pbs.twimg.com/profile_images/1826164253390196738/mhjuCMeO_bigger.jpg'}","Sep 12, 2024 · 12:33 PM UTC",False,False,,[],"{'link': 'https://twitter.com/VeronicaKoman/status/1834200936782463252#m', 'text': 'Busetttt bukan bagi2 kue lagi, ini mah namanya tumpengan oligarki! Semua dapat jatah supaya ga ada oposisi', 'user': {'name': 'Veronica Koman 許愛茜', 'username': '@VeronicaKoman', 'profile_id': '1193018050498330624', 'avatar': 'https://pbs.twimg.com/profile_images/1193018050498330624/QLVWhWcF_mini.jpg'}, 'date': 'Sep 12, 2024 · 12:02 PM UTC', 'pictures': [], 'videos': [], 'gifs': []}","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Masyarakat Adat,https://twitter.com/konde_co/status/1834149034665324627#m,"Bahkan, RUU Masyarakat Adat juga mandek sehingga menimbulkan kritik baik dari publik maupun organisasi masyarakat sipil seperti Aliansi Masyarakat Adat Nusantara (AMAN).","{'name': 'konde.co', 'username': '@konde_co', 'profile_id': '1269827373119102977', 'avatar': 'https://pbs.twimg.com/profile_images/1269827373119102977/XOAih9Cs_bigger.jpg'}","Sep 12, 2024 · 8:36 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}","['https://pbs.twimg.com/media/GXQ00nCaIAA4YgU.jpg', 'https://pbs.twimg.com/media/GXQ00nIbcAA_Lt7.jpg', 'https://pbs.twimg.com/media/GXQ00m_bEAAty2Y.jpg', 'https://pbs.twimg.com/media/GXQ00m_bgAEVgSS.jpg']",[],[]
RUU Masyarakat Adat,https://twitter.com/Mythicalforest/status/1833438504648642700#m,"Hebat, kan? Perkara kekuasaan dan jabatan kementerian revisi RUU-nya sat set sat set jadi  Giliran RUU PPRT (diusulkan sejak 2004) dan RUU Masyarakat Hukum Adat (diusulkan sejak 2010) gak kunjung disahkan  Masak gak jelas rezim ini berpihak ke siapa?","{'name': 'Lone Wolf', 'username': '@Mythicalforest', 'profile_id': '1506133523480002563', 'avatar': 'https://pbs.twimg.com/profile_images/1506133523480002563/u5ATP1qh_bigger.jpg'}","Sep 10, 2024 · 9:32 AM UTC",False,False,,[],"{'link': 'https://twitter.com/perupadata/status/1833362313400783018#m', 'text': 'DPR setuju merevisi UU Kementerian Negara.  Jumlah kementerian yang tadinya dibatasi maksimal 34, dibuah jadi sesuai kebutuhan presiden. Penjelasan soal wamen juga dihapus, tidak lagi menyebut wamen sebagai pejabat karir.  Ngebut nih, maksimal 30 September sudah bakal disahkan.', 'user': {'name': 'perupadata', 'username': '@perupadata', 'profile_id': '1256116186191785984', 'avatar': 'https://pbs.twimg.com/profile_images/1256116186191785984/KV3wcy84_mini.jpg'}, 'date': 'Sep 10, 2024 · 4:30 AM UTC', 'pictures': ['https://pbs.twimg.com/media/GXFpTYqbEAMxyJk.jpg'], 'videos': [], 'gifs': []}","{'comments': 0, 'retweets': 31, 'quotes': 0, 'likes': 45}",[],[],[]
RUU Masyarakat Adat,https://twitter.com/Sundakiwari1/status/1833166592961835098#m,Sekalian titip RUU Masyarakat adat ade2 mahasiswa 🙏,"{'name': 'Sundakiwari', 'username': '@Sundakiwari1', 'profile_id': '1517382653237809153', 'avatar': 'https://pbs.twimg.com/profile_images/1517382653237809153/0tR9I73T_bigger.jpg'}","Sep 9, 2024 · 3:32 PM UTC",False,False,,"['@xquitavee', '@DPR_RI']",{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU Masyarakat Adat,https://twitter.com/jaringnusa/status/1832584609898611002#m,"Salah satu contoh, RUU Masyarakat Adat belum beres-beres sampai sekarang karena ada kekhawatiran kalau ada UU Masyarakat Adat, masyarakat adat punya kekuatan, terang Martha Hebi, penulis dan jurnalis dari Sumba, Nusa Tenggara Timur.","{'name': 'Jaring Nusa Kawasan Timur Indonesia', 'username': '@jaringnusa', 'profile_id': '1480737472074059781', 'avatar': 'https://pbs.twimg.com/profile_images/1480737472074059781/Y3c3xuCm_bigger.jpg'}","Sep 8, 2024 · 12:59 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 0}","['https://pbs.twimg.com/media/GW6l-wza8AAzAXR.jpg', 'https://pbs.twimg.com/media/GW6l-w1a8AAZHiN.jpg']",[],[]
