ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU Pendanaan Politik,https://twitter.com/isafn12/status/1827292138847228378#m,"Ketimbang RUU Perampasan Aset, mending RUU Pendanaan Partai Politik dulu biar jelas pendanaannya  Kalo banyak main belakang kayak sekarang, takutnya RUU Perampasan Aset malah dijadikan alat menjatuhkan lawan politik :(","{'name': 'Alisa', 'username': '@isafn12', 'profile_id': '1708365606305849344', 'avatar': 'https://pbs.twimg.com/profile_images/1708365606305849344/kBAXX_SK_bigger.jpg'}","Aug 24, 2024 · 10:29 AM UTC",False,False,,['@Mdy_Asmara1701'],{},"{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 26}",[],[],[]
RUU Pendanaan Politik,https://twitter.com/isafn12/status/1827220306496196911#m,"Sebelum RUU Perampasan Aset, boleh ga sih RUU Pendanaan Partai Politik duluan yg dibahas? 🙏","{'name': 'Alisa', 'username': '@isafn12', 'profile_id': '1708365606305849344', 'avatar': 'https://pbs.twimg.com/profile_images/1708365606305849344/kBAXX_SK_bigger.jpg'}","Aug 24, 2024 · 5:44 AM UTC",False,False,,[],"{'link': 'https://twitter.com/AnggaPutraF/status/1827204233906811185#m', 'text': 'Selama aparat penegak hukum tidak bisa independen dan menjaga integritasnya, maka RUU perampasan aset adalah senjata baru untuk membungkam lawan politik. Tanpa UU Perampasan aset aja udah kejadian, apalagi kalau udah ada.', 'user': {'name': 'Angga PF', 'username': '@AnggaPutraF', 'profile_id': '1801542818705641474', 'avatar': 'https://pbs.twimg.com/profile_images/1801542818705641474/fArGAmbE_mini.jpg'}, 'date': 'Aug 24, 2024 · 4:40 AM UTC', 'pictures': [], 'videos': [], 'gifs': []}","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Pendanaan Politik,https://twitter.com/ntijamet/status/1825855410131337484#m,Asal 2 2 nya bisa commit ngegoalin RUU perampasan aset dan pendanaan partai politik sih gue gasss mentokkk,"{'name': 'R A G I L || 🍉', 'username': '@ntijamet', 'profile_id': '1385422614785499138', 'avatar': 'https://pbs.twimg.com/profile_images/1385422614785499138/9grlXXMf_bigger.jpg'}","Aug 20, 2024 · 11:20 AM UTC",False,False,,['@BudiBukanIntel'],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 2}",[],[],[]
RUU Pendanaan Politik,https://twitter.com/501Awani/status/1768187360305651867#m,"RUU Pendanaan Politik masih di peringkat kajian - Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi), Datuk Seri Azalina Othman Said.  #AWANInews #DewanRakyat #SisiTVParlimen","{'name': 'Astro AWANI', 'username': '@501Awani', 'profile_id': '1792428898610974720', 'avatar': 'https://pbs.twimg.com/profile_images/1792428898610974720/teeXseh-_bigger.jpg'}","Mar 14, 2024 · 8:08 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 2, 'quotes': 0, 'likes': 5}",[],['https://video.twimg.com/amplify_video/1768186237230391296/pl/IoeFs5J34uU3ZuoS.m3u8?tag=16'],[]
RUU Pendanaan Politik,https://twitter.com/beritartm/status/1765628993498427413#m,Draf berhubung Rang Undang-Undang (RUU) Pendanaan Politik masih di peringkat penelitian kata Timbalan Menteri Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi) M.Kulasegaran.  https://berita.rtm.gov.my/nasional/senarai-berita-nasional/senarai-artikel/ruu-pendanaan-politik-dalam-penelitian  'Yang sahih di Berita RTM' #RTM #BeritaRTM #MalaysiaMadani,"{'name': 'Berita RTM', 'username': '@beritartm', 'profile_id': '1780391710822166528', 'avatar': 'https://pbs.twimg.com/profile_images/1780391710822166528/_sqMfesW_bigger.jpg'}","Mar 7, 2024 · 6:42 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GIDGD0caAAAK0Sj.jpg'],[],[]
RUU Pendanaan Politik,https://twitter.com/bharianmy/status/1765606622603493648#m,"Skop sumbangan individu, syarikat kepada parti politik diteliti dalam RUU pendanaan politik  #BHnasional RUU Pendanaan Politik masih di peringkat penelitian dan kajian sedang dikendalikan Jawatankuasa Pilihan Khas Hak Asasi Manusia, Pilihan Raya dan Reformasi Institusi, Dewan Rakyat  https://www.bharian.com.my/berita/nasional/2024/03/1220614/skop-sumbangan-individu-syarikat-kepada-parti-politik-diteliti-dalam","{'name': 'Berita Harian', 'username': '@bharianmy', 'profile_id': '1784632184139284480', 'avatar': 'https://pbs.twimg.com/profile_images/1784632184139284480/4Wtndad-_bigger.jpg'}","Mar 7, 2024 · 5:13 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GICx27saQAAr_FZ.jpg'],[],[]
RUU Pendanaan Politik,https://twitter.com/UMonline/status/1765596130652631174#m,PARLIMEN: RUU Pendanaan Politik masih dalam kajian https://www.utusan.com.my/nasional/2024/03/parlimen-ruu-pendanaan-politik-masih-dalam-kajian/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=umonline #BERITA #NASIONAL #TERKINI,"{'name': 'Utusan Malaysia', 'username': '@UMonline', 'profile_id': '1764866295131205632', 'avatar': 'https://pbs.twimg.com/profile_images/1764866295131205632/tTS8qq_6_bigger.jpg'}","Mar 7, 2024 · 4:31 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Pendanaan Politik,https://twitter.com/ShafiqHalim91/status/1762814331719483648#m,"Kita lihat tahun ini ada atau tidak agenda REFORMASI yang dibawa…,jangan lupa draft RUU Akta Pendanaan Politik dah siap tunggu bentang sahaja…,","{'name': 'Shafiq Halim #Gaza_Genocide', 'username': '@ShafiqHalim91', 'profile_id': '1707861092263981056', 'avatar': 'https://pbs.twimg.com/profile_images/1707861092263981056/2uS_1jR8_bigger.jpg'}","Feb 28, 2024 · 12:17 PM UTC",False,False,,['@anwaribrahim'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU Pendanaan Politik,https://twitter.com/fayyadhjaafar/status/1762344781458604071#m,5/ Aku rasa tak perlu lah letak Kertas Dasar berkenaan RUU Pendanaan Parti Politik tu sebagai satu achievement.  Kertas dasar tu bukan reform. Tu homework assignment je.  Mana bill dia? Mana enforcement dia?  Takkan kau pergi kedai makan mintak nasi goreng kau campak menu je?,"{'name': 'Fayyadh Jaafar 🇲🇾', 'username': '@fayyadhjaafar', 'profile_id': '1823996672235724800', 'avatar': 'https://pbs.twimg.com/profile_images/1823996672235724800/7fDAcYid_bigger.jpg'}","Feb 27, 2024 · 5:11 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 4, 'quotes': 1, 'likes': 6}",[],[],[]
RUU Pendanaan Politik,https://twitter.com/fairusizzudin/status/1757059488321057210#m,"w salah satu, yg nda soal masalah keluarga politik/dinasti politik.  dgn catatan, disahkan : RUU pendanaan partai politik RUU perampasan aset RUU kepresidenan  dll, yg membuat sistem demokrasi kita kuat. biar kalo ada skandal, bisa diseret ke pengadilan.","{'name': 'rus', 'username': '@fairusizzudin', 'profile_id': '1608311310298779654', 'avatar': 'https://pbs.twimg.com/profile_images/1608311310298779654/2elCvB2A_bigger.jpg'}","Feb 12, 2024 · 3:10 PM UTC",False,False,,[],"{'link': 'https://twitter.com/_devalo/status/1756987470229778702#m', 'text': 'dulu gibran kaesang juga begini', 'user': {'name': 'F🍉', 'username': '@_devalo', 'profile_id': '1830135678946197510', 'avatar': 'https://pbs.twimg.com/profile_images/1830135678946197510/JHoAhGc1_mini.jpg'}, 'date': 'Feb 12, 2024 · 10:23 AM UTC', 'pictures': [], 'videos': [], 'gifs': []}","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
