ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
RUU PHN,https://twitter.com/bphn_kumham/status/1764969688231211126#m,BPHN Siapkan Strategi Percepatan Penyusunan RUU PHN dan RPerpres Kepatuhan Hukum https://bphn.go.id/berita-utama/bphn-siapkan-strategi-percepatan-penyusunan-ruu-phn-dan-rperpres-kepatuhan-hukum,"{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Mar 5, 2024 · 11:02 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GH5uk8sa0AAUxE9.jpg'],[],[]
RUU PHN,https://twitter.com/Kemenkumham_Jtm/status/1763107912808108525#m,"dan Evaluasi serta Kepatuhan Hukum. RUU PHN diarahkan untuk mendorong pembangunan hukum yang berkeadilan, berkepastian, bermanfaat, dan berlandaskan Hak Asasi Manusia.","{'name': 'Kementerian Hukum dan HAM Jawa Timur', 'username': '@Kemenkumham_Jtm', 'profile_id': '1569878262171705345', 'avatar': 'https://pbs.twimg.com/profile_images/1569878262171705345/xlQXXVFw_bigger.jpg'}","Feb 29, 2024 · 7:44 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU PHN,https://twitter.com/Kemenkumham_Jtm/status/1763107909784006808#m,"Sebagai langkah konkret, lanjut Widodo, BPHN tengah menyusun Rancangan Undang-Undang Pembinaan Hukum Nasional (RUU PHN) dan Rancangan Peraturan Presiden (RPerpres) tentang Program Penyusunan, Monitoring,","{'name': 'Kementerian Hukum dan HAM Jawa Timur', 'username': '@Kemenkumham_Jtm', 'profile_id': '1569878262171705345', 'avatar': 'https://pbs.twimg.com/profile_images/1569878262171705345/xlQXXVFw_bigger.jpg'}","Feb 29, 2024 · 7:44 AM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU PHN,https://twitter.com/bphn_kumham/status/1761952400871678013#m,Kapusren BPHN Meminta Seluruh Warga BPHN Luruskan Mispersepsi terhadap RUU PHN dan RPerpres Kepatuhan Hukum. https://bphn.go.id/berita-kegiatan/kapusren-bphn-meminta-seluruh-warga-bphn-luruskan-mispersepsi-terhadap-ruu-phn-dan-rperpres-kepatuhan-hukum,"{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Feb 26, 2024 · 3:12 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
RUU PHN,https://twitter.com/bphn_kumham/status/1759503347282055303#m,ASAHI Dukung BPHN Menjadi Regulator Audit Hukum dan Auditor Hukum di Indonesia melalui RUU PHN dan RPerpres Kepatuhan Hukum https://bphn.go.id/berita-utama/asahi-dukung-bphn-menjadi-regulator-audit-hukum-dan-auditor-hukum-di-indonesia-melalui-ruu-phn-dan-rperpres-kepatuhan-hukum #BPHN #Kumhampasti,"{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Feb 19, 2024 · 9:01 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GGsC-ASbYAATfWq.jpg'],[],[]
RUU PHN,https://twitter.com/bphn_kumham/status/1757391790561501506#m,RUU PHN dan RPerpres Kepatuhan Hukum Mulai Bergulir ke Ditjen PP Untuk PAK dan Harmonisasi https://bphn.go.id/berita-utama/ruu-phn-dan-rperpres-kepatuhan-hukum-mulai-bergulir-ke-ditjen-pp-untuk-pak-dan-harmonisasi,"{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Feb 13, 2024 · 1:10 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GGOChQrbIAAytwd.jpg'],[],[]
RUU PHN,https://twitter.com/bphn_kumham/status/1754697124292546982#m,BNSP Dukung BPHN Sertifikasi Profesi Hukum dalam RUU PHN https://bphn.go.id/berita-utama/bnsp-dukung-bphn-sertifikasi-profesi-hukum-dalam-ruu-phn #BPHN #kumhampasti #RUUPHN,"{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Feb 6, 2024 · 2:42 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",[],[],[]
RUU PHN,https://twitter.com/bphn_kumham/status/1750430161152229495#m,"Bahas konsepsi Kepatuhan Hukum dalam RPermen dan RPerpres tindaklanjut RUU PHN, Kepala BPHN: Utamakan Sinergi dan Konsultasi dengan Pihak Terkait https://bphn.go.id/berita-utama/bahas-konsepsi-kepatuhan-hukum-dalam-rpermen-dan-rperpres-tindaklanjut-ruu-phn-kepala-bphn-utamakan-sinergi-dan-konsultasi-dengan-pihak-terkait","{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Jan 25, 2024 · 8:07 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GErG9KNacAAqW42.jpg'],[],[]
RUU PHN,https://twitter.com/bphn_kumham/status/1748517043845189707#m,BPHN Dorong Terbentuknya Profesi Auditor Hukum Lewat RUU PHN https://www.bphn.go.id/berita-utama/bphn-dorong-terbentuknya-profesi-auditor-hukum-lewat-ruu-phn #KumhamSemakinPasti #BPHNHEBAT #RUUPHN #AuditorHukum,"{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Jan 20, 2024 · 1:25 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
RUU PHN,https://twitter.com/bphn_kumham/status/1748303997759619150#m,BPHN Dorong Auditor Hukum Dalam RUU PHN Lakukan Audit Kepatuhan Hukum Badan Usaha dan Badan Hukum https://www.bphn.go.id/berita-utama/bphn-dorong-auditor-hukum-dalam-ruu-phn-lakukan-audit-kepatuhan-hukum-badan-usaha-dan-badan-hukum #ruuphn #bphn #kemenkumham #pembinaanhukumnasional,"{'name': 'Badan Pembinaan Hukum Nasional (BPHN) Kemenkumham', 'username': '@bphn_kumham', 'profile_id': '1305521652160110593', 'avatar': 'https://pbs.twimg.com/profile_images/1305521652160110593/sconzZao_bigger.jpg'}","Jan 19, 2024 · 11:18 AM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GEM5OJjakAADjNl.jpg'],[],[]
