ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs,sentiment
RUU BHP,https://twitter.com/kanimbatulicin/status/1828312975729410237#m,"7. “Output prioritas nasional polhukhankam dan transformasi digital, yaitu modul UU KUHP, RUU KUH Acara Perdata, RUU Kepailitan, penguatan BHP, ...","{'name': 'Kantor Imigrasi Kelas II TPI Batulicin Official', 'username': '@kanimbatulicin', 'profile_id': '1594529917546672128', 'avatar': 'https://pbs.twimg.com/profile_images/1594529917546672128/EZWuSkJm_bigger.jpg'}",2024-08-27,False,False,,[],{},"{'comments': 1, 'retweets': 4, 'quotes': 0, 'likes': 5}",[],[],[],Neutral
RUU BHP,https://twitter.com/rutandonggala/status/1827191327374897526#m,"“Output prioritas nasional polhukhankam dan transformasi digital, yaitu modul UU KUHP, RUU KUH Acara Perdata, RUU Kepailitan, penguatan BHP, pengembangan kompetensi Pembimbing Kemasyarakatan, sampai dengan Implementasi kebijakan integrasi...""","{'name': 'Rutan Donggala', 'username': '@rutandonggala', 'profile_id': '1429029877903069192', 'avatar': 'https://pbs.twimg.com/profile_images/1429029877903069192/329LI9WC_bigger.jpg'}",2024-08-24,False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU BHP,https://twitter.com/lpsamarinda/status/1827140119398379544#m,"“Output prioritas nasional polhukhankam dan transformasi digital, yaitu modul UU KUHP, RUU KUH Acara Perdata, RUU Kepailitan, penguatan BHP, pengembangan kompetensi Pembimbing Kemasyarakatan, sampai dengan Implementasi kebijakan integrasi sistem manajemen pemeriksaan keimigrasian","{'name': 'Lapas Samarinda', 'username': '@lpsamarinda', 'profile_id': '1716350194181414912', 'avatar': 'https://pbs.twimg.com/profile_images/1716350194181414912/DnKhbMIM_bigger.jpg'}",2024-08-24,False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU BHP,https://twitter.com/KangMoer81/status/1789807934404505784#m,"Dulu, pertengahan tahun 2000, kita terhenyak oleh RUU BHP, Undang-Undang Badan Hukum Pendidikan, dan tentu reaksi kolektif yang keras membuat RUU itu urung berlaku. .","{'name': 'Bumi Manusia', 'username': '@KangMoer81', 'profile_id': '1723676040080596992', 'avatar': 'https://pbs.twimg.com/profile_images/1723676040080596992/RG2SqJGn_bigger.jpg'}",2024-05-13,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/udahmerdeka/status/1759025256990425178#m,"eskalasinya dr 2008, zaman msh RUU BHP, eh nongol lg jd RUU PT yg lbh serem 😂 ga bakakan menang jg soalnya kan itu udah amanat dr WTO, siapapun presidenya wajib dilaksanakan","{'name': 'wn', 'username': '@udahmerdeka', 'profile_id': '1832071556660355073', 'avatar': 'https://pbs.twimg.com/profile_images/1832071556660355073/734eIWCR_bigger.jpg'}",2024-02-18,False,False,,['@inganggita'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/arkarka89/status/1758786249887035551#m,"Fyi, temen dekat saya pun adalah temen yg anti gerakan yg saya ikuti buat menggugat ruu bhp dlu. Bahkan mengubah dia pun saat itu saya gbsa, apalagi kalian mau mengubah opini org di sosmed. Kalau mau ubah, bentuk wadahnya, bahas isu2nya, bentuk tuntutan dan solusinya, implement.","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}",2024-02-17,False,False,,"['@arkarka89', '@Karismaang', '@dewapuci']",{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/arkarka89/status/1758780450238337527#m,"Saya sama, tp berlanjut dr mas nya. Saya advokasi adik tingkat di 2009, sama persis kenaikan uang spp jg 4x dr spp saya. Syaratnya jg banyak seperti yg mas blg. Itulah point yg saya sampaikan di demo tolak ruu bhp bersama teman2. Itu jg salah satu yg d gaungkan ke adik2 saya","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}",2024-02-17,False,False,,"['@agus_kriwul', '@Karismaang', '@dewapuci']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/arkarka89/status/1758752437593317500#m,"Ya salah. Sejak jaman ruu bhp di setujui, subsidi negara untuk kampus psti akan mulai menghilang. Karena ptn udh jd otonomi kampus, bukan pemerintah lg. Makanya dlu kami demo ruu bhp, kalian ga ada yg lanjutin, trus skrg ngamuk2 ukt mahal, org kami yg demo dl udh tau bakal begini","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}",2024-02-17,False,False,,['@collegemenfess'],{},"{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/arkarka89/status/1758738615642013915#m,Ralat. Bahkan dr sebelum 2008 pergerakan penolakan ruu bhp sudah ramai.,"{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}",2024-02-17,False,False,,"['@arkarka89', '@Karismaang', '@dewapuci']",{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU BHP,https://twitter.com/arkarka89/status/1758738408778928153#m,"Lah ya itu hasil dr otonomi kampus. Udh di lawan dr 2008, saya trmasuk yg ikut demo mahasiswa nya menolak otonomi kampus dan ruu bhp supaya masyarakat yg kurang sejahtera bisa kuliah. Tidak di lanjutkan sama adik2 sampai sudah di loloskan, trus skrg ngomel2?","{'name': 'asdasd', 'username': '@arkarka89', 'profile_id': '1534082919110651904', 'avatar': 'https://pbs.twimg.com/profile_images/1534082919110651904/MRh0gT92_bigger.jpg'}",2024-02-17,False,False,,"['@Karismaang', '@dewapuci']",{},"{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 3}",[],[],[],Negative
RUU BHP,https://twitter.com/LapamusuUm21336/status/1753947889452384611#m,"Skitar tahun 2005-2007 saat kami mahasiswa, kami sampe berdarah-darah dihajar petugas lantaran sering demo menolak RUU BHP (Badan Hukum Pendidikan). Sejak menikah 2008, saya sudah jarang mengikuti dinamika kebijakan terkait dunia pendidikan. Apa benar UU BHP jadi dijalankan bang?","{'name': 'Iman', 'username': '@LapamusuUm21336', 'profile_id': '1690956567968088065', 'avatar': 'https://pbs.twimg.com/profile_images/1690956567968088065/RxXF3SkX_bigger.png'}",2024-02-04,False,False,,['@ardisatriawan'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/ssujono/status/1752320156456665543#m,"Iya bener, soal keuangan ini kan pertama bunyi di RUU BHP, UU BHP, lalu UU Dikti, Li. Ditolak terus dengan potensi kasus gini kejadian, dan kejadian toh.","{'name': 'Sulaiman Sujono', 'username': '@ssujono', 'profile_id': '948355638026883072', 'avatar': 'https://pbs.twimg.com/profile_images/948355638026883072/YokdsKuC_bigger.jpg'}",2024-01-30,False,False,,"['@ali_abdillah_', '@BEMUI_Official']",{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/Sandaal_kejepit/status/1750939266375352377#m,"Bisa buat mukul trah SBY ni, karena disahkannya RUU BHP (Badan Hukum Pendidikan)","{'name': 'Tasty Money', 'username': '@Sandaal_kejepit', 'profile_id': '1396510788324532228', 'avatar': 'https://pbs.twimg.com/profile_images/1396510788324532228/U7HoGruW_bigger.jpg'}",2024-01-26,False,False,,['@WidasSatyo'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU BHP,https://twitter.com/kafey/status/1750499737667846371#m,"Dulu kayanya sok2an banget ya,  pas RUU BHP lagi digodok kita bikin counter legal drafting dari sisi mahasiswa, waktu itu baru bbrp kampus yg udah  PP BHMN. Nah efeknya udah kelihatan..","{'name': 'Pep Ardn', 'username': '@kafey', 'profile_id': '1467495844349837315', 'avatar': 'https://pbs.twimg.com/profile_images/1467495844349837315/icXS8ZQQ_bigger.jpg'}",2024-01-25,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU Konservasi,https://twitter.com/tvr_parlemen/status/1833710211909222473#m,"TVR 120 - Komisi IV DPR RI : Setujui RUU KSDAHE Dibawa Ke Paripurna  Komisi IV DPR RI, komite II DPD RI serta pemerintah menyepakati, naskah RUU konservasi sumber daya alam hayati dan ekosistem atau ksdahe.  #TVRParlemen #breakingnews #DPRRI #tvr120 https://piped.video/T1kLOq9Skmk","{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}",2024-09-11,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[],Neutral
RUU Konservasi,https://twitter.com/tvr_parlemen/status/1833382507867525564#m,"TVR 120- Komisi IV DPR RI : Setujui RUU KSDAHE Dibawa Ke Paripurna  Komisi IV DPR RI, komite II DPD RI serta pemerintah menyepakati, naskah RUU konservasi sumber daya alam hayati&ekosistem atau ksdahe, dibawa ke pembahasan di tingkat II #TVRParlemen #DPRRI https://piped.video/T1kLOq9Skmk","{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}",2024-09-10,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[],Neutral
RUU Konservasi,https://twitter.com/Indorelawan/status/1828403101231133097#m,Manuver Baleg DPR yang ngebut banget buat mengesahkan UU Pilkada (diproses kurang dari 24 jam) malah menunda pembahasan RUU lain yang gak kalah darurat. Diantaranya RUU Perlindungan Pekerja Rumah Tangga dan revisi RUU Konservasi Sumber Daya Alam Hayati &  Ekosistem.,"{'name': 'Indorelawan', 'username': '@Indorelawan', 'profile_id': '946298749894004742', 'avatar': 'https://pbs.twimg.com/profile_images/946298749894004742/B7yNlL5m_bigger.jpg'}",2024-08-27,False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GV_K7jAbQAA3-CY.jpg'],[],[],Negative
RUU Konservasi,https://twitter.com/amnesty_unair/status/1828019944237539410#m,"–dalam memenuhi hak-hak masyarakat lokal dan konservasi lingkungan.   RUU KSDAHE membawa daftar panjang permasalahan, dan dianggap malah membuka pintu yang lebar untuk praktik industrialisasi dan neoliberasi lingkungan.","{'name': 'Amnesty Universitas Airlangga', 'username': '@amnesty_unair', 'profile_id': '1830760177043132419', 'avatar': 'https://pbs.twimg.com/profile_images/1830760177043132419/6HsbqMI2_bigger.jpg'}",2024-08-26,False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GV5U87Ca8AAuWwZ.jpg'],[],[],Negative
RUU Konservasi,https://twitter.com/betahita_id/status/1821712775732994067#m,"Sebulan lalu, pada 9 Juli 2024, pemerintah mengesahkan Rancangan Undang-Undang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (RUU KSDAHE). dlvr.it/TBh9DW","{'name': 'Betahita.id', 'username': '@betahita_id', 'profile_id': '1556931481502883840', 'avatar': 'https://pbs.twimg.com/profile_images/1556931481502883840/UGTxJ9n8_bigger.jpg'}",2024-08-09,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU Konservasi,https://twitter.com/tvr_parlemen/status/1818558894588969191#m,TVR 120- Komisi IV DPR RI: RUU KSDAHE Wujud Dukungan Pelestarian Alam  Komisi empat DPR RI membahas RUU tentang Konservasi  KSDAHE. Khususnya terkait  keberlangsungan Konservasi dan wilayah perairan. #TVRParlemen #livestreaming #breakingnews #DPRRI #tvr120 https://piped.video/gU_71eg2wUA,"{'name': 'tvr.parlemen', 'username': '@tvr_parlemen', 'profile_id': '1510866232035053571', 'avatar': 'https://pbs.twimg.com/profile_images/1510866232035053571/rvU0Q4lG_bigger.jpg'}",2024-07-31,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[],Positive
RUU Konservasi,https://twitter.com/Iqbalnyamala/status/1818293408559161680#m,Pada RUU KSDAE masyarakat diakokodasi daam bentuk Daerah Perlindungan Kearifan Lokal dan Area Konservasi Kelola Masyarakat. Tinggal dipantau apakah betul memberikan manfaat bagi masyarakat adat.,"{'name': 'Beternak Kelulut', 'username': '@Iqbalnyamala', 'profile_id': '1504838795933663240', 'avatar': 'https://pbs.twimg.com/profile_images/1504838795933663240/gE5AuvFw_bigger.jpg'}",2024-07-30,False,False,,['@A_Komarud'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU Konservasi,https://twitter.com/kkpgoid/status/1812830598589030741#m,"#SahabatBahari,9 Juli lalu DPR RI baru saja mengesahkan RUU KSDAHE menjadi Undang-Undang tentang Konservasi Sumber Daya Alam Hayati dan Ekosistemnya (KSDAHE) guna meningkatkan efektivitas pengelolaan kawasan konservasi,termasuk perlindungan terhadap beragam spesies di perairan","{'name': 'KKP RI', 'username': '@kkpgoid', 'profile_id': '1741268782855974912', 'avatar': 'https://pbs.twimg.com/profile_images/1741268782855974912/hWlsTkFS_bigger.jpg'}",2024-07-15,False,False,,[],{},"{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 4}",['https://pbs.twimg.com/media/GSh30MFa4AEHa-L.jpg'],[],[],Positive
RUU Konservasi,https://twitter.com/hariankompas/status/1811740603358806100#m,Sejumlah aspek penegakan hukum masih terbatas dan dinilai kurang terakomodasi dalam RUU Konservasi. baca.komp.as/T9Vc2R #Humaniora #AdadiKompas,"{'name': 'Harian Kompas', 'username': '@hariankompas', 'profile_id': '1810124683188350976', 'avatar': 'https://pbs.twimg.com/profile_images/1810124683188350976/RS_tUqhb_bigger.jpg'}",2024-07-12,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU Konservasi,https://twitter.com/KompasKlasika/status/1811740598665380235#m,Sejumlah aspek penegakan hukum masih terbatas dan dinilai kurang terakomodasi dalam RUU Konservasi. baca.komp.as/T9Vc0w #Humaniora #AdadiKompas,"{'name': 'Kompas Klasika', 'username': '@KompasKlasika', 'profile_id': '1810211068792496128', 'avatar': 'https://pbs.twimg.com/profile_images/1810211068792496128/neQmvG5S_bigger.jpg'}",2024-07-12,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU Konservasi,https://twitter.com/KompasData/status/1811740598069755906#m,Sejumlah aspek penegakan hukum masih terbatas dan dinilai kurang terakomodasi dalam RUU Konservasi. baca.komp.as/T9Vc0c #Humaniora #AdadiKompas,"{'name': 'Kompas Data', 'username': '@KompasData', 'profile_id': '779349972571398144', 'avatar': 'https://pbs.twimg.com/profile_images/779349972571398144/-IYrd31Q_bigger.jpg'}",2024-07-12,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU Konservasi,https://twitter.com/kompasmuda/status/1811740597188985279#m,Sejumlah aspek penegakan hukum masih terbatas dan dinilai kurang terakomodasi dalam RUU Konservasi. baca.komp.as/T9Vc0P #Humaniora #AdadiKompas,"{'name': 'Kompas Muda', 'username': '@kompasmuda', 'profile_id': '1398796570259124225', 'avatar': 'https://pbs.twimg.com/profile_images/1398796570259124225/vSh8nL6Y_bigger.jpg'}",2024-07-12,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
