ruu,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs,sentiment
RUU Daerah Khusus Jakarta,https://twitter.com/mediaindonesia/status/1770096400078135711#m,PARTAI Kebangkitan Bangsa (PKB) memberikan catatan khusus soal Rancangan Undang-Undang (RUU) Daerah Khusus Jakarta (DKJ) yang sudah disepakati dan akan dilanjutkan ke paripurna.  https://mediaindonesia.com/politik-dan-hukum/659871/pkb-beri-catatan-khusus-soal-ruu-daerah-khusus-jakarta,"{'name': 'Media Indonesia', 'username': '@mediaindonesia', 'profile_id': '1743523592569229312', 'avatar': 'https://pbs.twimg.com/profile_images/1743523592569229312/Am6sPQip_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU Daerah Khusus Jakarta,https://twitter.com/most1058/status/1770084653422219588#m,"DPR RI dan Pemerintah Sepakat, RUU Daerah Khusus Jakarta (DKJ) Dibawa ke Paripurna untuk Disahkan. #MostUpdate1058 https://most1058fm.com/2024/03/dpr-ri-dan-pemerintah-sepakat-ruu-daerah-khusus-jakarta-dkj-dibawa-ke-paripurna-untuk-disahkan/","{'name': 'MOST 1058', 'username': '@most1058', 'profile_id': '1618144649885159425', 'avatar': 'https://pbs.twimg.com/profile_images/1618144649885159425/RlhCRerD_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[],Neutral
RUU Daerah Khusus Jakarta,https://twitter.com/mediaindonesia/status/1770058487386791956#m,BADAN Legislasi atau Baleg DPR RI bersama Pemerintah dan DPD RI telah menyepakati Rancangan Undang-Undang Daerah Khusus Jakarta (RUU DKJ) segera dibawa ke rapat paripurna DPR https://mediaindonesia.com/politik-dan-hukum/659811/ruu-dkj-7-poin-penting-disepakati-dpr-dan-pemerintah,"{'name': 'Media Indonesia', 'username': '@mediaindonesia', 'profile_id': '1743523592569229312', 'avatar': 'https://pbs.twimg.com/profile_images/1743523592569229312/Am6sPQip_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU Daerah Khusus Jakarta,https://twitter.com/detikcom/status/1770042537316934139#m,"Baleg DPR dan pemerintah telah menyetujui RUU Daerah Khusus Jakarta (DKJ) dibawa ke rapat paripurna. Namun hingga keputusan itu diambil, pihak mana yang mengusulkan Gubernur DKJ ditunjuk presiden belum juga terpecahkan.","{'name': 'detikcom', 'username': '@detikcom', 'profile_id': '1777591926935748608', 'avatar': 'https://pbs.twimg.com/profile_images/1777591926935748608/E9N4gA5T_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 0, 'retweets': 3, 'quotes': 0, 'likes': 4}",[],['https://video.twimg.com/ext_tw_video/1769965720048467968/pu/pl/bDtkUQcTfLAsg7KR.m3u8?tag=12'],[],Neutral
RUU Daerah Khusus Jakarta,https://twitter.com/InfoJktCom/status/1770014437694685652#m,RUU Daerah Khusus Jakarta Final: Gubernur-Wagub Dipilih Rakyat  https://news.detik.com/berita/d-7249981/ruu-daerah-khusus-jakarta-final-gubernur-wagub-dipilih-rakyat,"{'name': 'Info Jakarta', 'username': '@InfoJktCom', 'profile_id': '1502314498849644544', 'avatar': 'https://pbs.twimg.com/profile_images/1502314498849644544/zHyzqQoX_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Neutral
RUU Daerah Khusus Jakarta,https://twitter.com/culcrix/status/1770013549114646775#m,"Dewan Perwakilan Rakyat (DPR) meminta kesepakatan pemerintah untuk memasukkan ketentuan dalam Rancangan Undang-Undang Daerah Khusus Jakarta (RUU DKJ) bahwa daerah ini akan dijadikan ibu kota khusus bidang legislasi. Namun, pemerintah menolak.","{'name': 'CULCRIX', 'username': '@culcrix', 'profile_id': '1741113296743538688', 'avatar': 'https://pbs.twimg.com/profile_images/1741113296743538688/rO1nk7dZ_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[],Negative
RUU Daerah Khusus Jakarta,https://twitter.com/catchmeupco/status/1769994228233535727#m,"Pemerintah dan Panitia Kerja Rancangan Undang-Undang tentang Daerah Khusus Jakarta (RUU DKJ) memutuskan, gubernur dan wakil gubernur Jakarta tetap dipilih langsung oleh warga melalui Pilkada. Hal itu diputuskan dalam Rapat Panitia Kerja (Panja) RUU DKJ oleh Baleg DPR RI, pemerintah, dan DPD di Kompleks Parlemen, Jakarta, Senin (18/3).  ""Di UU DKI sekarang, pemenang Pilkada itu sama dengan pemenang Pilpres, 50 plus 1. Sekarang, di usulan pemerintah, tidak menyebut 50 plus 1, itu artinya sama dengan pilkada-pilkada yang lain. Suara terbanyak,"" kata Ketua Baleg DPR Supratman Andi Agtas dalam rapat.  Sebelumnya, mekanisme pemilihan gubernur dan wakil gubernur Jakarta menuai polemik. Pasalnya, dalam draf RUU DKJ, DPR mengusulkan Pasal 10 Ayat 2 berbunyi, ”gubernur dan wakil gubernur ditunjuk, diangkat, dan diberhentikan oleh presiden dengan memperhatikan usul atau pendapat DPRD”.","{'name': 'Catch Me Up!', 'username': '@catchmeupco', 'profile_id': '1831696982530039808', 'avatar': 'https://pbs.twimg.com/profile_images/1831696982530039808/AdQMIh0i_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 2, 'retweets': 35, 'quotes': 5, 'likes': 102}",['https://pbs.twimg.com/media/GJBIXEJaoAA4eMb.jpg'],[],[],Neutral
RUU Daerah Khusus Jakarta,https://twitter.com/genvoiceid/status/1769993217783775540#m,"Dewan Perwakilan Rakyat (DPR) meminta kesepakatan pemerintah untuk memasukkan ketentuan dalam Rancangan Undang-Undang Daerah Khusus Jakarta (RUU DKJ) bahwa daerah ini akan dijadikan ibu kota khusus bidang legislasi. Namun, pemerintah menolak.  Usulan ini disampaikan oleh Wakil Ketua Badan Legislasi (Baleg) DPR Achmad Baidowi saat rapat kerja antara DPR dan Pemerintah tentang daftar invetarisasi masalah (DIM) RUU DKJ. Pembahasan DIM itu sendirinya sebetulnya sudah selesai dan tinggal dibawa ke Tim Perumus (Timus) dan Tim Sinkronisasi (Timsin).  Namun, ketetapan untuk memulai rapat Timus dan Timsin itu terhenti karena DPR berikeras supaya usulan itu disepakati pemerintah. Sementara itu pemerintah juga enggan memberi kesepakatan karena menurut mereka seluruh lembaga negara harus ikut pindah ke ibu kota baru di wilayah Kalimantan Timur, yakni Ibu Kota Nusantara atau IKN.","{'name': 'GENVOICE', 'username': '@genvoiceid', 'profile_id': '1625705789385224194', 'avatar': 'https://pbs.twimg.com/profile_images/1625705789385224194/kSWB2Dfd_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GJBHbzpbwAAtBtZ.jpg'],[],[],Negative
RUU Daerah Khusus Jakarta,https://twitter.com/Metro_TV/status/1769992523043451050#m,Badan Legislasi (Baleg) DPR telah menyepakati keputusan tingkat I untuk membawa Rancangan Undang-Undang Daerah Khusus Jakarta (RUU DKJ) ke Sidang Rapat Paripurna DPR atau keputusan tingkat II sebagai Undang-Undang (UU).  Download #MetroTVXtend sekarang di Play Store dan App Store.  #ruudkj #daerahkhususjakarta #dkj #dprri #pks #partaikeadilansejahtera @DPR_RI,"{'name': 'METRO TV', 'username': '@Metro_TV', 'profile_id': '1600314665216925696', 'avatar': 'https://pbs.twimg.com/profile_images/1600314665216925696/cGfZREZ6_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],['https://video.twimg.com/ext_tw_video/1769991114717794304/pu/pl/-_GRQeVGMwo5N9m6.m3u8?tag=12'],[],Neutral
RUU Daerah Khusus Jakarta,https://twitter.com/tribunnews/status/1769992452520247342#m,Capres Anies Baswedan menanggapi pembahasan Rancangan Undang-Undang Daerah Khusus Jakarta (RUU DKJ). RUU DKJ itu memuat usulan wakil presiden menjadi pimpinan Dewan Aglomerasi. (ld) #aniesbaswedan #RUUDKJ #dewanaglomerasi,"{'name': 'Tribunnews.com', 'username': '@tribunnews', 'profile_id': '1823627116103274496', 'avatar': 'https://pbs.twimg.com/profile_images/1823627116103274496/q4KSV0_Y_bigger.jpg'}",2024-03-19,False,False,,[],{},"{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 2}",[],['https://video.twimg.com/ext_tw_video/1768171675324203008/pu/pl/f0aIjzPN5fAF_s1-.m3u8?tag=12'],[],Neutral
