ruu,user,replying-to,sentiment
RUU Cukai Plastik,"{'name': 'Nidyna10', 'username': '@Nidyna10', 'profile_id': '1710317227608768512', 'avatar': 'https://pbs.twimg.com/profile_images/1710317227608768512/tAyPVtfw_bigger.jpg'}",,Neutral
RUU Tentara Nasional Indonesia,"{'name': 'B_hand', 'username': '@Bhand37763106', 'profile_id': '1721502212218855424', 'avatar': 'https://pbs.twimg.com/profile_images/1721502212218855424/0cIn7UXl_bigger.jpg'}",,Negative
RUU Tentara Nasional Indonesia,"{'name': 'radarnkri.id', 'username': '@radarnkri306', 'profile_id': '1698297497154969600', 'avatar': 'https://pbs.twimg.com/profile_images/1698297497154969600/sLtPlOVj_bigger.jpg'}",,Neutral
RUU Tentara Nasional Indonesia,"{'name': 'Direktorat Jenderal Peraturan Perundang-undangan', 'username': '@djppkemenkumham', 'profile_id': '1590878883993116672', 'avatar': 'https://pbs.twimg.com/profile_images/1590878883993116672/nnr5oHlC_bigger.jpg'}",,Neutral
RUU Tentara Nasional Indonesia,"{'name': 'KBR', 'username': '@beritaKBR', 'profile_id': '1572505996567916546', 'avatar': 'https://pbs.twimg.com/profile_images/1572505996567916546/q8YX8Xxg_bigger.jpg'}",,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Darkcloud🍉🦉', 'username': '@kijangplus', 'profile_id': '1770807206021066752', 'avatar': 'https://pbs.twimg.com/profile_images/1770807206021066752/QuDd_jnb_bigger.jpg'}",@kijangplus,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Darkcloud🍉🦉', 'username': '@kijangplus', 'profile_id': '1770807206021066752', 'avatar': 'https://pbs.twimg.com/profile_images/1770807206021066752/QuDd_jnb_bigger.jpg'}",@Cintamu2k16,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Darkcloud🍉🦉', 'username': '@kijangplus', 'profile_id': '1770807206021066752', 'avatar': 'https://pbs.twimg.com/profile_images/1770807206021066752/QuDd_jnb_bigger.jpg'}",@MasterMons36,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Darkcloud🍉🦉', 'username': '@kijangplus', 'profile_id': '1770807206021066752', 'avatar': 'https://pbs.twimg.com/profile_images/1770807206021066752/QuDd_jnb_bigger.jpg'}",@PebriyanDwi_P,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Darkcloud🍉🦉', 'username': '@kijangplus', 'profile_id': '1770807206021066752', 'avatar': 'https://pbs.twimg.com/profile_images/1770807206021066752/QuDd_jnb_bigger.jpg'}",@jonsnow2393,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Darkcloud🍉🦉', 'username': '@kijangplus', 'profile_id': '1770807206021066752', 'avatar': 'https://pbs.twimg.com/profile_images/1770807206021066752/QuDd_jnb_bigger.jpg'}",@gilbhas,Negative
RUU Tentara Nasional Indonesia,"{'name': 'backflip2013', 'username': '@backflip2013', 'profile_id': '1189025238417170433', 'avatar': 'https://pbs.twimg.com/profile_images/1189025238417170433/M_jqPXB7_bigger.jpg'}",@V4N_DO0M,Negative
RUU Tentara Nasional Indonesia,"{'name': 'backflip2013', 'username': '@backflip2013', 'profile_id': '1189025238417170433', 'avatar': 'https://pbs.twimg.com/profile_images/1189025238417170433/M_jqPXB7_bigger.jpg'}",@rmol_id,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Yance Arizona', 'username': '@yancearizona', 'profile_id': '1828337866382155776', 'avatar': 'https://pbs.twimg.com/profile_images/1828337866382155776/Nmwn6td-_bigger.jpg'}",,Neutral
RUU Tentara Nasional Indonesia,"{'name': 'DPD RI DKI Jakarta', 'username': '@dpdrijakarta', 'profile_id': '1569549980456845312', 'avatar': 'https://pbs.twimg.com/profile_images/1569549980456845312/51vV7SoQ_bigger.jpg'}",,Neutral
RUU Tentara Nasional Indonesia,"{'name': 'Mood', 'username': '@Krishna63602298', 'profile_id': '1587549765721808896', 'avatar': 'https://pbs.twimg.com/profile_images/1587549765721808896/9co8HXJ__bigger.jpg'}",@Rigensih,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Amdi', 'username': '@Puriadm47818', 'profile_id': '1752168172285997056', 'avatar': 'https://pbs.twimg.com/profile_images/1752168172285997056/jms14NXo_bigger.png'}",,Negative
RUU Tentara Nasional Indonesia,"{'name': 'YNZ Penjual Buku', 'username': '@ynzpenjualbuku', 'profile_id': '1837168511074070528', 'avatar': 'https://pbs.twimg.com/profile_images/1837168511074070528/aYJpO6BM_bigger.jpg'}",,Neutral
RUU Tentara Nasional Indonesia,"{'name': 'akumahapaatuh 🇵🇸🔻🍉', 'username': '@liliisflower', 'profile_id': '1766160546364289024', 'avatar': 'https://pbs.twimg.com/profile_images/1766160546364289024/pZ_5s1fr_bigger.jpg'}",@anandabadudu,Negative
RUU Tentara Nasional Indonesia,"{'name': 'piul Andrio', 'username': '@YAdrianyah', 'profile_id': '1763332655574331392', 'avatar': 'https://pbs.twimg.com/profile_images/1763332655574331392/mMQgHX4K_bigger.jpg'}",,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Oberanto Lumban Gaol', 'username': '@OGaol16925', 'profile_id': '1818903707066736640', 'avatar': 'https://pbs.twimg.com/profile_images/1818903707066736640/JNuiYPts_bigger.jpg'}",@miiaawb,Negative
RUU Tentara Nasional Indonesia,"{'name': 'HimaWari', 'username': '@H1m4_W4r1', 'profile_id': '1498432325004136448', 'avatar': 'https://pbs.twimg.com/profile_images/1498432325004136448/cLMqrb9R_bigger.jpg'}",@Adhi_Beka2,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Adhi_Beka🇲🇨', 'username': '@Adhi_Beka2', 'profile_id': '1339482788953640963', 'avatar': 'https://pbs.twimg.com/profile_images/1339482788953640963/yiRsDTUe_bigger.jpg'}",@H1m4_W4r1,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Joe Lazuardi', 'username': '@yusuf_avner', 'profile_id': '1524879246744727552', 'avatar': 'https://pbs.twimg.com/profile_images/1524879246744727552/HN7xPZxu_bigger.jpg'}",@adrian268303,Negative
RUU Tentara Nasional Indonesia,"{'name': 'Joe Lazuardi', 'username': '@yusuf_avner', 'profile_id': '1524879246744727552', 'avatar': 'https://pbs.twimg.com/profile_images/1524879246744727552/HN7xPZxu_bigger.jpg'}",@detikcom,Negative
RUU Tentara Nasional Indonesia,"{'name': 'BeritaSatu', 'username': '@Beritasatu', 'profile_id': '1670400265743376385', 'avatar': 'https://pbs.twimg.com/profile_images/1670400265743376385/nUdqmHBU_bigger.jpg'}",,Neutral
